suite,case,benchmark,ns_per_op
bit_extract_weights,popcount=0,pext,0.411133
bit_extract_weights,popcount=0,bitloop,0.484375
bit_extract_weights,popcount=0,split32,1.056641
bit_extract_weights,popcount=0,byte_table,5.297852
bit_extract_weights,popcount=0,block_table,0.547852
bit_extract_weights,popcount=0,block_table_unrolled1,0.582520
bit_extract_weights,popcount=0,block_table_unrolled2,0.483887
bit_extract_weights,popcount=0,block_table_unrolled4,0.493652
bit_extract_weights,popcount=0,block_table_unrolled8,0.469727
bit_extract_weights,popcount=0,butterfly_table,1.672852
bit_extract_weights,popcount=0,adaptive,2.118164
bit_extract_weights,popcount=0,instlatx,2.191406
bit_extract_weights,popcount=0,zp7,4.661621
bit_extract_weights,popcount=1,pext,0.395996
bit_extract_weights,popcount=1,bitloop,1.046875
bit_extract_weights,popcount=1,split32,1.609375
bit_extract_weights,popcount=1,byte_table,5.292969
bit_extract_weights,popcount=1,block_table,1.017578
bit_extract_weights,popcount=1,block_table_unrolled1,1.012695
bit_extract_weights,popcount=1,block_table_unrolled2,1.306152
bit_extract_weights,popcount=1,block_table_unrolled4,1.956543
bit_extract_weights,popcount=1,block_table_unrolled8,2.142578
bit_extract_weights,popcount=1,butterfly_table,1.667969
bit_extract_weights,popcount=1,adaptive,2.357910
bit_extract_weights,popcount=1,instlatx,2.186523
bit_extract_weights,popcount=1,zp7,4.652344
bit_extract_weights,popcount=2,pext,0.356934
bit_extract_weights,popcount=2,bitloop,1.619141
bit_extract_weights,popcount=2,split32,2.147461
bit_extract_weights,popcount=2,byte_table,5.292969
bit_extract_weights,popcount=2,block_table,1.340332
bit_extract_weights,popcount=2,block_table_unrolled1,1.350098
bit_extract_weights,popcount=2,block_table_unrolled2,1.305664
bit_extract_weights,popcount=2,block_table_unrolled4,1.941895
bit_extract_weights,popcount=2,block_table_unrolled8,2.137695
bit_extract_weights,popcount=2,butterfly_table,1.687500
bit_extract_weights,popcount=2,adaptive,1.980957
bit_extract_weights,popcount=2,instlatx,2.802734
bit_extract_weights,popcount=2,zp7,4.652344
bit_extract_weights,popcount=3,pext,0.357422
bit_extract_weights,popcount=3,bitloop,2.211426
bit_extract_weights,popcount=3,split32,2.836914
bit_extract_weights,popcount=3,byte_table,5.292969
bit_extract_weights,popcount=3,block_table,1.864258
bit_extract_weights,popcount=3,block_table_unrolled1,1.858887
bit_extract_weights,popcount=3,block_table_unrolled2,1.961426
bit_extract_weights,popcount=3,block_table_unrolled4,1.966309
bit_extract_weights,popcount=3,block_table_unrolled8,2.147949
bit_extract_weights,popcount=3,butterfly_table,1.672852
bit_extract_weights,popcount=3,adaptive,1.980957
bit_extract_weights,popcount=3,instlatx,2.495117
bit_extract_weights,popcount=3,zp7,4.657227
