suite,case,benchmark,ns_per_op
bit_extract_blocks,runs=0,pext,0.388984
bit_extract_blocks,runs=0,bitloop,0.674336
bit_extract_blocks,runs=0,split32,1.910586
bit_extract_blocks,runs=0,byte_table,6.554883
bit_extract_blocks,runs=0,block_table,0.673516
bit_extract_blocks,runs=0,block_table_unrolled1,0.674336
bit_extract_blocks,runs=0,block_table_unrolled2,0.979180
bit_extract_blocks,runs=0,block_table_unrolled4,1.285195
bit_extract_blocks,runs=0,block_table_unrolled8,0.679805
bit_extract_blocks,runs=0,butterfly_table,2.514102
bit_extract_blocks,runs=0,adaptive,2.215117
bit_extract_blocks,runs=0,instlatx,2.215078
bit_extract_blocks,runs=0,zp7,6.012031
bit_extract_blocks,runs=1,pext,0.373359
bit_extract_blocks,runs=1,bitloop,34.907617
bit_extract_blocks,runs=1,split32,29.161289
bit_extract_blocks,runs=1,byte_table,6.575234
bit_extract_blocks,runs=1,block_table,0.836367
bit_extract_blocks,runs=1,block_table_unrolled1,0.832422
bit_extract_blocks,runs=1,block_table_unrolled2,1.291484
bit_extract_blocks,runs=1,block_table_unrolled4,1.920391
bit_extract_blocks,runs=1,block_table_unrolled8,3.397383
bit_extract_blocks,runs=1,butterfly_table,2.512109
bit_extract_blocks,runs=1,adaptive,2.215078
bit_extract_blocks,runs=1,instlatx,5.434805
bit_extract_blocks,runs=1,zp7,6.043359
bit_extract_blocks,runs=2,pext,0.386641
bit_extract_blocks,runs=2,bitloop,35.967422
bit_extract_blocks,runs=2,split32,29.262305
bit_extract_blocks,runs=2,byte_table,6.700039
bit_extract_blocks,runs=2,block_table,1.294609
bit_extract_blocks,runs=2,block_table_unrolled1,1.295781
bit_extract_blocks,runs=2,block_table_unrolled2,1.291094
bit_extract_blocks,runs=2,block_table_unrolled4,1.918828
bit_extract_blocks,runs=2,block_table_unrolled8,3.353164
bit_extract_blocks,runs=2,butterfly_table,2.524297
bit_extract_blocks,runs=2,adaptive,2.215469
bit_extract_blocks,runs=2,instlatx,5.410117
bit_extract_blocks,runs=2,zp7,6.014414
bit_extract_blocks,runs=3,pext,0.366680
bit_extract_blocks,runs=3,bitloop,29.697734
bit_extract_blocks,runs=3,split32,26.477773
bit_extract_blocks,runs=3,byte_table,6.594766
bit_extract_blocks,runs=3,block_table,1.914531
bit_extract_blocks,runs=3,block_table_unrolled1,1.912969
bit_extract_blocks,runs=3,block_table_unrolled2,1.911758
bit_extract_blocks,runs=3,block_table_unrolled4,1.917656
bit_extract_blocks,runs=3,block_table_unrolled8,3.390352
bit_extract_blocks,runs=3,butterfly_table,2.523867
bit_extract_blocks,runs=3,adaptive,2.215117
bit_extract_blocks,runs=3,instlatx,5.328359
bit_extract_blocks,runs=3,zp7,6.014414
bit_extract_blocks,runs=4,pext,0.363945
bit_extract_blocks,runs=4,bitloop,38.738633
bit_extract_blocks,runs=4,split32,30.636719
bit_extract_blocks,runs=4,byte_table,6.604570
bit_extract_blocks,runs=4,block_table,2.528555
bit_extract_blocks,runs=4,block_table_unrolled1,2.530117
bit_extract_blocks,runs=4,block_table_unrolled2,1.909023
bit_extract_blocks,runs=4,block_table_unrolled4,1.919609
bit_extract_blocks,runs=4,block_table_unrolled8,3.344141
bit_extract_blocks,runs=4,butterfly_table,2.529727
bit_extract_blocks,runs=4,adaptive,2.215859
bit_extract_blocks,runs=4,instlatx,5.592109
bit_extract_blocks,runs=4,zp7,6.013203
bit_extract_blocks,runs=5,pext,0.366289
bit_extract_blocks,runs=5,bitloop,36.209258
bit_extract_blocks,runs=5,split32,29.544023
bit_extract_blocks,runs=5,byte_table,6.675781
bit_extract_blocks,runs=5,block_table,3.145391
bit_extract_blocks,runs=5,block_table_unrolled1,3.145742
bit_extract_blocks,runs=5,block_table_unrolled2,2.537578
bit_extract_blocks,runs=5,block_table_unrolled4,3.240430
bit_extract_blocks,runs=5,block_table_unrolled8,3.321055
bit_extract_blocks,runs=5,butterfly_table,2.524648
bit_extract_blocks,runs=5,adaptive,2.214688
bit_extract_blocks,runs=5,instlatx,5.546719
bit_extract_blocks,runs=5,zp7,6.014023
bit_extract_blocks,runs=6,pext,0.366680
bit_extract_blocks,runs=6,bitloop,35.883242
bit_extract_blocks,runs=6,split32,28.790664
bit_extract_blocks,runs=6,byte_table,6.719219
bit_extract_blocks,runs=6,block_table,3.778945
bit_extract_blocks,runs=6,block_table_unrolled1,3.765664
bit_extract_blocks,runs=6,block_table_unrolled2,2.531719
bit_extract_blocks,runs=6,block_table_unrolled4,3.209922
bit_extract_blocks,runs=6,block_table_unrolled8,3.374297
bit_extract_blocks,runs=6,butterfly_table,2.524258
bit_extract_blocks,runs=6,adaptive,2.214297
bit_extract_blocks,runs=6,instlatx,5.565469
bit_extract_blocks,runs=6,zp7,6.014805
bit_extract_blocks,runs=7,pext,0.369063
bit_extract_blocks,runs=7,bitloop,36.422148
bit_extract_blocks,runs=7,split32,29.966680
bit_extract_blocks,runs=7,byte_table,6.745039
bit_extract_blocks,runs=7,block_table,4.380508
bit_extract_blocks,runs=7,block_table_unrolled1,4.382422
bit_extract_blocks,runs=7,block_table_unrolled2,3.160234
bit_extract_blocks,runs=7,block_table_unrolled4,3.240078
bit_extract_blocks,runs=7,block_table_unrolled8,3.397773
bit_extract_blocks,runs=7,butterfly_table,2.523867
bit_extract_blocks,runs=7,adaptive,2.215898
bit_extract_blocks,runs=7,instlatx,5.628516
bit_extract_blocks,runs=7,zp7,6.012852
bit_extract_blocks,runs=8,pext,0.366719
bit_extract_blocks,runs=8,bitloop,33.914727
bit_extract_blocks,runs=8,split32,27.834961
bit_extract_blocks,runs=8,byte_table,6.740781
bit_extract_blocks,runs=8,block_table,4.997266
bit_extract_blocks,runs=8,block_table_unrolled1,4.995703
bit_extract_blocks,runs=8,block_table_unrolled2,3.157891
bit_extract_blocks,runs=8,block_table_unrolled4,3.219688
bit_extract_blocks,runs=8,block_table_unrolled8,3.355508
bit_extract_blocks,runs=8,butterfly_table,2.523477
bit_extract_blocks,runs=8,adaptive,2.215859
bit_extract_blocks,runs=8,instlatx,5.628516
bit_extract_blocks,runs=8,zp7,6.015156
bit_extract_blocks,runs=9,pext,0.369063
bit_extract_blocks,runs=9,bitloop,35.024961
bit_extract_blocks,runs=9,split32,28.095586
bit_extract_blocks,runs=9,byte_table,6.885156
bit_extract_blocks,runs=9,block_table,5.611680
bit_extract_blocks,runs=9,block_table_unrolled1,5.613633
bit_extract_blocks,runs=9,block_table_unrolled2,4.111602
bit_extract_blocks,runs=9,block_table_unrolled4,4.731914
bit_extract_blocks,runs=9,block_table_unrolled8,6.407344
bit_extract_blocks,runs=9,butterfly_table,2.524258
bit_extract_blocks,runs=9,adaptive,2.215859
bit_extract_blocks,runs=9,instlatx,5.628086
bit_extract_blocks,runs=9,zp7,6.016367
bit_extract_blocks,runs=10,pext,0.365938
bit_extract_blocks,runs=10,bitloop,37.337148
bit_extract_blocks,runs=10,split32,28.969141
bit_extract_blocks,runs=10,byte_table,6.796719
bit_extract_blocks,runs=10,block_table,6.231992
