suite,case,benchmark,ns_per_op
kmer_extract,k=1,char_to_nt_ifs_re,6.727975
kmer_extract,k=1,char_to_nt_switch_re,2.576563
kmer_extract,k=1,char_to_nt_table_re,1.460291
kmer_extract,k=1,char_to_nt_ascii_re,1.563920
kmer_extract,k=1,char_to_nt_ifs_shift,6.742342
kmer_extract,k=1,char_to_nt_switch_shift,1.270985
kmer_extract,k=1,char_to_nt_table_shift,1.095819
kmer_extract,k=1,char_to_nt_ascii_shift,1.251798
kmer_extract,k=2,char_to_nt_ifs_re,7.907409
kmer_extract,k=2,char_to_nt_switch_re,3.957479
kmer_extract,k=2,char_to_nt_table_re,2.290749
kmer_extract,k=2,char_to_nt_ascii_re,2.404221
kmer_extract,k=2,char_to_nt_ifs_shift,6.741646
kmer_extract,k=2,char_to_nt_switch_shift,1.271500
kmer_extract,k=2,char_to_nt_table_shift,1.096139
kmer_extract,k=2,char_to_nt_ascii_shift,1.251641
kmer_extract,k=3,char_to_nt_ifs_re,9.158307
kmer_extract,k=3,char_to_nt_switch_re,5.068836
kmer_extract,k=3,char_to_nt_table_re,3.003729
kmer_extract,k=3,char_to_nt_ascii_re,3.407871
kmer_extract,k=3,char_to_nt_ifs_shift,6.743847
kmer_extract,k=3,char_to_nt_switch_shift,1.271315
kmer_extract,k=3,char_to_nt_table_shift,1.096078
kmer_extract,k=3,char_to_nt_ascii_shift,1.252800
kmer_extract,k=4,char_to_nt_ifs_re,11.545194
kmer_extract,k=4,char_to_nt_switch_re,6.823075
kmer_extract,k=4,char_to_nt_table_re,3.834227
kmer_extract,k=4,char_to_nt_ascii_re,4.224821
kmer_extract,k=4,char_to_nt_ifs_shift,6.742074
kmer_extract,k=4,char_to_nt_switch_shift,1.271030
kmer_extract,k=4,char_to_nt_table_shift,1.095985
kmer_extract,k=4,char_to_nt_ascii_shift,1.251835
kmer_extract,k=5,char_to_nt_ifs_re,14.885702
kmer_extract,k=5,char_to_nt_switch_re,8.126253
kmer_extract,k=5,char_to_nt_table_re,4.672794
kmer_extract,k=5,char_to_nt_ascii_re,5.240315
kmer_extract,k=5,char_to_nt_ifs_shift,6.741597
kmer_extract,k=5,char_to_nt_switch_shift,1.271424
kmer_extract,k=5,char_to_nt_table_shift,1.096350
kmer_extract,k=5,char_to_nt_ascii_shift,1.251745
kmer_extract,k=6,char_to_nt_ifs_re,20.812228
kmer_extract,k=6,char_to_nt_switch_re,9.689571
kmer_extract,k=6,char_to_nt_table_re,5.605549
kmer_extract,k=6,char_to_nt_ascii_re,6.260530
kmer_extract,k=6,char_to_nt_ifs_shift,6.742399
kmer_extract,k=6,char_to_nt_switch_shift,1.271383
kmer_extract,k=6,char_to_nt_table_shift,1.096063
kmer_extract,k=6,char_to_nt_ascii_shift,1.251742
kmer_extract,k=7,char_to_nt_ifs_re,40.457059
kmer_extract,k=7,char_to_nt_switch_re,10.926481
kmer_extract,k=7,char_to_nt_table_re,6.226320
kmer_extract,k=7,char_to_nt_ascii_re,7.367154
kmer_extract,k=7,char_to_nt_ifs_shift,6.736133
kmer_extract,k=7,char_to_nt_switch_shift,1.270739
kmer_extract,k=7,char_to_nt_table_shift,1.096005
kmer_extract,k=7,char_to_nt_ascii_shift,1.252204
kmer_extract,k=8,char_to_nt_ifs_re,50.647066
kmer_extract,k=8,char_to_nt_switch_re,12.572173
kmer_extract,k=8,char_to_nt_table_re,7.133063
kmer_extract,k=8,char_to_nt_ascii_re,8.677847
kmer_extract,k=8,char_to_nt_ifs_shift,6.744613
kmer_extract,k=8,char_to_nt_switch_shift,1.271013
kmer_extract,k=8,char_to_nt_table_shift,1.096024
kmer_extract,k=8,char_to_nt_ascii_shift,1.251369
kmer_extract,k=9,char_to_nt_ifs_re,55.963975
kmer_extract,k=9,char_to_nt_switch_re,13.827745
kmer_extract,k=9,char_to_nt_table_re,8.141137
kmer_extract,k=9,char_to_nt_ascii_re,8.863838
kmer_extract,k=9,char_to_nt_ifs_shift,6.732069
kmer_extract,k=9,char_to_nt_switch_shift,1.272028
kmer_extract,k=9,char_to_nt_table_shift,1.095600
kmer_extract,k=9,char_to_nt_ascii_shift,1.252509
kmer_extract,k=10,char_to_nt_ifs_re,59.102193
kmer_extract,k=10,char_to_nt_switch_re,15.414299
kmer_extract,k=10,char_to_nt_table_re,8.654449
kmer_extract,k=10,char_to_nt_ascii_re,9.930588
kmer_extract,k=10,char_to_nt_ifs_shift,6.743774
kmer_extract,k=10,char_to_nt_switch_shift,1.270763
kmer_extract,k=10,char_to_nt_table_shift,1.095876
kmer_extract,k=10,char_to_nt_ascii_shift,1.252596
kmer_extract,k=11,char_to_nt_ifs_re,61.143503
kmer_extract,k=11,char_to_nt_switch_re,16.691224
kmer_extract,k=11,char_to_nt_table_re,9.298784
kmer_extract,k=11,char_to_nt_ascii_re,10.546902
kmer_extract,k=11,char_to_nt_ifs_shift,6.735400
kmer_extract,k=11,char_to_nt_switch_shift,1.271300
kmer_extract,k=11,char_to_nt_table_shift,1.095833
kmer_extract,k=11,char_to_nt_ascii_shift,1.252013
kmer_extract,k=12,char_to_nt_ifs_re,62.680678
kmer_extract,k=12,char_to_nt_switch_re,18.123130
kmer_extract,k=12,char_to_nt_table_re,10.416070
kmer_extract,k=12,char_to_nt_ascii_re,11.171178
kmer_extract,k=12,char_to_nt_ifs_shift,6.743090
kmer_extract,k=12,char_to_nt_switch_shift,1.271297
kmer_extract,k=12,char_to_nt_table_shift,1.096159
kmer_extract,k=12,char_to_nt_ascii_shift,1.253148
kmer_extract,k=13,char_to_nt_ifs_re,64.204707
kmer_extract,k=13,char_to_nt_switch_re,19.527035
kmer_extract,k=13,char_to_nt_table_re,11.184810
