suite,case,benchmark,ns_per_op
kmer_spaced_multi,mask_set=0,naive,14.277079
kmer_spaced_multi,mask_set=0,pext,1.921492
kmer_spaced_multi,mask_set=0,bitloop,17.324320
kmer_spaced_multi,mask_set=0,byte_table,8.672348
kmer_spaced_multi,mask_set=0,block_table,3.564912
kmer_spaced_multi,mask_set=0,block_table_unrolled2,3.397025
kmer_spaced_multi,mask_set=0,block_table_unrolled4,3.360383
kmer_spaced_multi,mask_set=0,block_table_unrolled8,4.250246
kmer_spaced_multi,mask_set=0,butterfly_table,3.085256
kmer_spaced_multi,mask_set=0,simd_butterfly_table_sse2,3.655863
kmer_spaced_multi,mask_set=0,simd_block_table_sse2,3.499202
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx2,3.398426
kmer_spaced_multi,mask_set=0,simd_block_table_avx2,3.322525
kmer_spaced_multi,mask_set=0,simd_pext,1.956817
kmer_spaced_multi,mask_set=0,simd_butterfly_table_scalar,2.703996
kmer_spaced_multi,mask_set=0,simd_block_table_scalar,3.075080
kmer_spaced_multi,mask_set=1,naive,20.492261
kmer_spaced_multi,mask_set=1,pext,1.922078
kmer_spaced_multi,mask_set=1,bitloop,26.977996
kmer_spaced_multi,mask_set=1,byte_table,8.635868
kmer_spaced_multi,mask_set=1,block_table,4.974037
kmer_spaced_multi,mask_set=1,block_table_unrolled2,4.635825
kmer_spaced_multi,mask_set=1,block_table_unrolled4,4.725209
kmer_spaced_multi,mask_set=1,block_table_unrolled8,5.327926
kmer_spaced_multi,mask_set=1,butterfly_table,3.077074
kmer_spaced_multi,mask_set=1,simd_butterfly_table_sse2,3.642299
kmer_spaced_multi,mask_set=1,simd_block_table_sse2,3.639662
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx2,3.384196
kmer_spaced_multi,mask_set=1,simd_block_table_avx2,3.388275
kmer_spaced_multi,mask_set=1,simd_pext,1.950133
kmer_spaced_multi,mask_set=1,simd_butterfly_table_scalar,2.723198
kmer_spaced_multi,mask_set=1,simd_block_table_scalar,4.367404
kmer_spaced_multi,mask_set=2,naive,25.915907
kmer_spaced_multi,mask_set=2,pext,1.917081
kmer_spaced_multi,mask_set=2,bitloop,36.673773
kmer_spaced_multi,mask_set=2,byte_table,8.647924
kmer_spaced_multi,mask_set=2,block_table,5.221586
kmer_spaced_multi,mask_set=2,block_table_unrolled2,5.046644
kmer_spaced_multi,mask_set=2,block_table_unrolled4,5.005166
kmer_spaced_multi,mask_set=2,block_table_unrolled8,5.861983
kmer_spaced_multi,mask_set=2,butterfly_table,3.067179
kmer_spaced_multi,mask_set=2,simd_butterfly_table_sse2,3.632238
kmer_spaced_multi,mask_set=2,simd_block_table_sse2,3.637945
kmer_spaced_multi,mask_set=2,simd_butterfly_table_avx2,3.373300
kmer_spaced_multi,mask_set=2,simd_block_table_avx2,3.390921
kmer_spaced_multi,mask_set=2,simd_pext,1.942134
kmer_spaced_multi,mask_set=2,simd_butterfly_table_scalar,2.702175
kmer_spaced_multi,mask_set=2,simd_block_table_scalar,4.923929
kmer_spaced_multi,mask_set=3,naive,31.122044
kmer_spaced_multi,mask_set=3,pext,1.911408
kmer_spaced_multi,mask_set=3,bitloop,46.251421
kmer_spaced_multi,mask_set=3,byte_table,8.629972
kmer_spaced_multi,mask_set=3,block_table,4.957126
kmer_spaced_multi,mask_set=3,block_table_unrolled2,4.584977
kmer_spaced_multi,mask_set=3,block_table_unrolled4,4.288793
kmer_spaced_multi,mask_set=3,block_table_unrolled8,4.494217
kmer_spaced_multi,mask_set=3,butterfly_table,3.057681
kmer_spaced_multi,mask_set=3,simd_butterfly_table_sse2,3.629412
kmer_spaced_multi,mask_set=3,simd_block_table_sse2,3.481772
kmer_spaced_multi,mask_set=3,simd_butterfly_table_avx2,3.362421
kmer_spaced_multi,mask_set=3,simd_block_table_avx2,3.293983
kmer_spaced_multi,mask_set=3,simd_pext,1.938043
kmer_spaced_multi,mask_set=3,simd_butterfly_table_scalar,2.699097
kmer_spaced_multi,mask_set=3,simd_block_table_scalar,3.424958
kmer_spaced_multi,mask_set=4,naive,36.670827
kmer_spaced_multi,mask_set=4,pext,1.911169
kmer_spaced_multi,mask_set=4,bitloop,55.761876
kmer_spaced_multi,mask_set=4,byte_table,8.583455
kmer_spaced_multi,mask_set=4,block_table,4.130359
kmer_spaced_multi,mask_set=4,block_table_unrolled2,3.702774
kmer_spaced_multi,mask_set=4,block_table_unrolled4,4.003014
kmer_spaced_multi,mask_set=4,block_table_unrolled8,4.194742
kmer_spaced_multi,mask_set=4,butterfly_table,3.048684
kmer_spaced_multi,mask_set=4,simd_butterfly_table_sse2,3.626591
kmer_spaced_multi,mask_set=4,simd_block_table_sse2,3.467349
kmer_spaced_multi,mask_set=4,simd_butterfly_table_avx2,3.356901
kmer_spaced_multi,mask_set=4,simd_block_table_avx2,3.284584
kmer_spaced_multi,mask_set=4,simd_pext,1.936076
kmer_spaced_multi,mask_set=4,simd_butterfly_table_scalar,2.687815
kmer_spaced_multi,mask_set=4,simd_block_table_scalar,3.082114
