suite,case,benchmark,ns_per_op
bit_extract_blocks,runs=0,pext,0.283164
bit_extract_blocks,runs=0,bitloop,0.289453
bit_extract_blocks,runs=0,split32,0.818789
bit_extract_blocks,runs=0,byte_table,4.346523
bit_extract_blocks,runs=0,block_table,0.286328
bit_extract_blocks,runs=0,block_table_unrolled1,0.553516
bit_extract_blocks,runs=0,block_table_unrolled2,0.287109
bit_extract_blocks,runs=0,block_table_unrolled4,0.286328
bit_extract_blocks,runs=0,block_table_unrolled8,0.286719
bit_extract_blocks,runs=0,butterfly_table,2.520313
bit_extract_blocks,runs=0,adaptive,2.570703
bit_extract_blocks,runs=0,instlatx,1.632461
bit_extract_blocks,runs=0,zp7,4.056680
bit_extract_blocks,runs=1,pext,0.283594
bit_extract_blocks,runs=1,bitloop,18.902070
bit_extract_blocks,runs=1,split32,17.894258
bit_extract_blocks,runs=1,byte_table,4.408594
bit_extract_blocks,runs=1,block_table,0.726562
bit_extract_blocks,runs=1,block_table_unrolled1,0.821484
bit_extract_blocks,runs=1,block_table_unrolled2,0.983594
bit_extract_blocks,runs=1,block_table_unrolled4,1.573438
bit_extract_blocks,runs=1,block_table_unrolled8,2.340625
bit_extract_blocks,runs=1,butterfly_table,2.514063
bit_extract_blocks,runs=1,adaptive,1.604688
bit_extract_blocks,runs=1,instlatx,4.655508
bit_extract_blocks,runs=1,zp7,4.057852
bit_extract_blocks,runs=2,pext,0.283945
bit_extract_blocks,runs=2,bitloop,19.586484
bit_extract_blocks,runs=2,split32,18.148555
bit_extract_blocks,runs=2,byte_table,4.480078
bit_extract_blocks,runs=2,block_table,1.101172
bit_extract_blocks,runs=2,block_table_unrolled1,1.103125
bit_extract_blocks,runs=2,block_table_unrolled2,0.975391
bit_extract_blocks,runs=2,block_table_unrolled4,1.577383
bit_extract_blocks,runs=2,block_table_unrolled8,2.336328
bit_extract_blocks,runs=2,butterfly_table,2.514453
bit_extract_blocks,runs=2,adaptive,1.367578
bit_extract_blocks,runs=2,instlatx,4.616797
bit_extract_blocks,runs=2,zp7,4.057852
bit_extract_blocks,runs=3,pext,0.283984
bit_extract_blocks,runs=3,bitloop,17.611445
bit_extract_blocks,runs=3,split32,16.344648
bit_extract_blocks,runs=3,byte_table,4.626953
bit_extract_blocks,runs=3,block_table,1.635195
bit_extract_blocks,runs=3,block_table_unrolled1,1.478906
bit_extract_blocks,runs=3,block_table_unrolled2,1.650000
bit_extract_blocks,runs=3,block_table_unrolled4,1.577383
bit_extract_blocks,runs=3,block_table_unrolled8,2.339844
bit_extract_blocks,runs=3,butterfly_table,2.500391
bit_extract_blocks,runs=3,adaptive,1.364492
bit_extract_blocks,runs=3,instlatx,4.450000
bit_extract_blocks,runs=3,zp7,4.057461
bit_extract_blocks,runs=4,pext,0.283594
bit_extract_blocks,runs=4,bitloop,20.470039
bit_extract_blocks,runs=4,split32,18.681406
bit_extract_blocks,runs=4,byte_table,4.705508
bit_extract_blocks,runs=4,block_table,2.179297
bit_extract_blocks,runs=4,block_table_unrolled1,1.980859
bit_extract_blocks,runs=4,block_table_unrolled2,1.647656
bit_extract_blocks,runs=4,block_table_unrolled4,1.578516
bit_extract_blocks,runs=4,block_table_unrolled8,2.339883
bit_extract_blocks,runs=4,butterfly_table,2.500000
bit_extract_blocks,runs=4,adaptive,1.366016
bit_extract_blocks,runs=4,instlatx,4.773437
bit_extract_blocks,runs=4,zp7,4.058203
bit_extract_blocks,runs=5,pext,0.283984
bit_extract_blocks,runs=5,bitloop,19.603281
bit_extract_blocks,runs=5,split32,18.160664
bit_extract_blocks,runs=5,byte_table,4.705117
bit_extract_blocks,runs=5,block_table,2.762891
bit_extract_blocks,runs=5,block_table_unrolled1,2.402344
bit_extract_blocks,runs=5,block_table_unrolled2,2.367578
bit_extract_blocks,runs=5,block_table_unrolled4,2.708242
bit_extract_blocks,runs=5,block_table_unrolled8,2.343398
bit_extract_blocks,runs=5,butterfly_table,2.505508
bit_extract_blocks,runs=5,adaptive,1.364844
bit_extract_blocks,runs=5,instlatx,4.789883
bit_extract_blocks,runs=5,zp7,4.058633
bit_extract_blocks,runs=6,pext,0.283945
bit_extract_blocks,runs=6,bitloop,19.361055
bit_extract_blocks,runs=6,split32,17.697383
bit_extract_blocks,runs=6,byte_table,4.798086
bit_extract_blocks,runs=6,block_table,3.302773
bit_extract_blocks,runs=6,block_table_unrolled1,2.858984
bit_extract_blocks,runs=6,block_table_unrolled2,2.392227
bit_extract_blocks,runs=6,block_table_unrolled4,2.705508
bit_extract_blocks,runs=6,block_table_unrolled8,2.338281
bit_extract_blocks,runs=6,butterfly_table,2.500000
bit_extract_blocks,runs=6,adaptive,1.365234
bit_extract_blocks,runs=6,instlatx,4.787148
bit_extract_blocks,runs=6,zp7,4.058242
bit_extract_blocks,runs=7,pext,0.283984
bit_extract_blocks,runs=7,bitloop,20.195469
bit_extract_blocks,runs=7,split32,18.430195
bit_extract_blocks,runs=7,byte_table,4.879336
bit_extract_blocks,runs=7,block_table,3.845312
bit_extract_blocks,runs=7,block_table_unrolled1,3.233594
bit_extract_blocks,runs=7,block_table_unrolled2,3.137891
bit_extract_blocks,runs=7,block_table_unrolled4,2.685547
bit_extract_blocks,runs=7,block_table_unrolled8,2.343398
bit_extract_blocks,runs=7,butterfly_table,2.502734
bit_extract_blocks,runs=7,adaptive,1.365234
bit_extract_blocks,runs=7,instlatx,4.848477
bit_extract_blocks,runs=7,zp7,4.059023
bit_extract_blocks,runs=8,pext,0.284375
bit_extract_blocks,runs=8,bitloop,18.868867
bit_extract_blocks,runs=8,split32,17.161055
bit_extract_blocks,runs=8,byte_table,4.917227
bit_extract_blocks,runs=8,block_table,4.387930
bit_extract_blocks,runs=8,block_table_unrolled1,3.700820
bit_extract_blocks,runs=8,block_table_unrolled2,3.151172
bit_extract_blocks,runs=8,block_table_unrolled4,2.687930
bit_extract_blocks,runs=8,block_table_unrolled8,2.337891
bit_extract_blocks,runs=8,butterfly_table,2.500781
bit_extract_blocks,runs=8,adaptive,1.365234
bit_extract_blocks,runs=8,instlatx,4.821094
bit_extract_blocks,runs=8,zp7,4.058594
bit_extract_blocks,runs=9,pext,0.283984
bit_extract_blocks,runs=9,bitloop,19.254844
bit_extract_blocks,runs=9,split32,17.488008
bit_extract_blocks,runs=9,byte_table,4.995742
bit_extract_blocks,runs=9,block_table,4.924648
bit_extract_blocks,runs=9,block_table_unrolled1,4.274609
bit_extract_blocks,runs=9,block_table_unrolled2,3.824609
bit_extract_blocks,runs=9,block_table_unrolled4,3.985977
bit_extract_blocks,runs=9,block_table_unrolled8,4.661719
bit_extract_blocks,runs=9,butterfly_table,2.501602
bit_extract_blocks,runs=9,adaptive,1.365273
bit_extract_blocks,runs=9,instlatx,4.837539
bit_extract_blocks,runs=9,zp7,4.058633
bit_extract_blocks,runs=10,pext,0.284375
bit_extract_blocks,runs=10,bitloop,19.558359
bit_extract_blocks,runs=10,split32,17.869258
bit_extract_blocks,runs=10,byte_table,5.092227
bit_extract_blocks,runs=10,block_table,5.472305
bit_extract_blocks,runs=10,block_table_unrolled1,4.624258
bit_extract_blocks,runs=10,block_table_unrolled2,3.851992
bit_extract_blocks,runs=10,block_table_unrolled4,4.023828
bit_extract_blocks,runs=10,block_table_unrolled8,4.663320
bit_extract_blocks,runs=10,butterfly_table,2.502344
bit_extract_blocks,runs=10,adaptive,1.365234
bit_extract_blocks,runs=10,instlatx,4.850820
bit_extract_blocks,runs=10,zp7,4.058984
bit_extract_blocks,runs=11,pext,0.283984
bit_extract_blocks,runs=11,bitloop,20.041172
bit_extract_blocks,runs=11,split32,18.018438
bit_extract_blocks,runs=11,byte_table,4.969180
bit_extract_blocks,runs=11,block_table,6.007070
bit_extract_blocks,runs=11,block_table_unrolled1,4.991836
