suite,case,benchmark,ns_per_op
kmer_extract,k=1,char_to_nt_ifs_re,7.709006
kmer_extract,k=1,char_to_nt_switch_re,7.550774
kmer_extract,k=1,char_to_nt_table_re,1.080117
kmer_extract,k=1,char_to_nt_ascii_re,1.434570
kmer_extract,k=1,char_to_nt_ifs_shift,7.220516
kmer_extract,k=1,char_to_nt_switch_shift,7.048038
kmer_extract,k=1,char_to_nt_table_shift,0.877782
kmer_extract,k=1,char_to_nt_ascii_shift,1.299209
kmer_extract,k=2,char_to_nt_ifs_re,11.378609
kmer_extract,k=2,char_to_nt_switch_re,9.608273
kmer_extract,k=2,char_to_nt_table_re,1.584990
kmer_extract,k=2,char_to_nt_ascii_re,2.291739
kmer_extract,k=2,char_to_nt_ifs_shift,7.221119
kmer_extract,k=2,char_to_nt_switch_shift,7.048521
kmer_extract,k=2,char_to_nt_table_shift,0.873486
kmer_extract,k=2,char_to_nt_ascii_shift,1.298949
kmer_extract,k=3,char_to_nt_ifs_re,14.958055
kmer_extract,k=3,char_to_nt_switch_re,10.984960
kmer_extract,k=3,char_to_nt_table_re,2.159401
kmer_extract,k=3,char_to_nt_ascii_re,3.181779
kmer_extract,k=3,char_to_nt_ifs_shift,7.219592
kmer_extract,k=3,char_to_nt_switch_shift,7.048125
kmer_extract,k=3,char_to_nt_table_shift,0.878039
kmer_extract,k=3,char_to_nt_ascii_shift,1.299563
kmer_extract,k=4,char_to_nt_ifs_re,18.529381
kmer_extract,k=4,char_to_nt_switch_re,17.385880
kmer_extract,k=4,char_to_nt_table_re,2.751996
kmer_extract,k=4,char_to_nt_ascii_re,4.066713
kmer_extract,k=4,char_to_nt_ifs_shift,7.219934
kmer_extract,k=4,char_to_nt_switch_shift,7.047817
kmer_extract,k=4,char_to_nt_table_shift,0.866109
kmer_extract,k=4,char_to_nt_ascii_shift,1.299655
kmer_extract,k=5,char_to_nt_ifs_re,23.599693
kmer_extract,k=5,char_to_nt_switch_re,21.949844
kmer_extract,k=5,char_to_nt_table_re,3.328993
kmer_extract,k=5,char_to_nt_ascii_re,5.039493
