suite,case,benchmark,ns_per_op
kmer_spaced_multi,mask_set=0,naive,8.939282
kmer_spaced_multi,mask_set=0,pext,0.634097
kmer_spaced_multi,mask_set=0,bitloop,11.472010
kmer_spaced_multi,mask_set=0,byte_table,4.138108
kmer_spaced_multi,mask_set=0,block_table,2.216081
kmer_spaced_multi,mask_set=0,block_table_unrolled2,2.034238
kmer_spaced_multi,mask_set=0,block_table_unrolled4,2.072995
kmer_spaced_multi,mask_set=0,block_table_unrolled8,2.312273
kmer_spaced_multi,mask_set=0,butterfly_table,2.677699
kmer_spaced_multi,mask_set=0,simd_butterfly_table_sse2,0.985896
kmer_spaced_multi,mask_set=0,simd_block_table_sse2,1.225088
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx2,0.707753
kmer_spaced_multi,mask_set=0,simd_block_table_avx2,0.910353
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx512,0.753001
kmer_spaced_multi,mask_set=0,simd_block_table_avx512,0.755735
kmer_spaced_multi,mask_set=0,simd_pext,0.421468
kmer_spaced_multi,mask_set=0,simd_butterfly_table_scalar,2.272461
kmer_spaced_multi,mask_set=0,simd_block_table_scalar,2.422969
kmer_spaced_multi,mask_set=1,naive,11.167118
kmer_spaced_multi,mask_set=1,pext,0.636580
kmer_spaced_multi,mask_set=1,bitloop,16.787026
kmer_spaced_multi,mask_set=1,byte_table,4.129826
kmer_spaced_multi,mask_set=1,block_table,3.925974
kmer_spaced_multi,mask_set=1,block_table_unrolled2,3.394011
kmer_spaced_multi,mask_set=1,block_table_unrolled4,3.385844
kmer_spaced_multi,mask_set=1,block_table_unrolled8,3.288548
kmer_spaced_multi,mask_set=1,butterfly_table,2.653369
kmer_spaced_multi,mask_set=1,simd_butterfly_table_sse2,0.988059
kmer_spaced_multi,mask_set=1,simd_block_table_sse2,1.714024
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx2,0.706491
kmer_spaced_multi,mask_set=1,simd_block_table_avx2,1.137969
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx512,0.752670
kmer_spaced_multi,mask_set=1,simd_block_table_avx512,0.937992
kmer_spaced_multi,mask_set=1,simd_pext,0.426157
kmer_spaced_multi,mask_set=1,simd_butterfly_table_scalar,2.267546
kmer_spaced_multi,mask_set=1,simd_block_table_scalar,3.464683
kmer_spaced_multi,mask_set=2,naive,14.137633
kmer_spaced_multi,mask_set=2,pext,0.635476
kmer_spaced_multi,mask_set=2,bitloop,22.062266
kmer_spaced_multi,mask_set=2,byte_table,4.114822
kmer_spaced_multi,mask_set=2,block_table,4.222685
kmer_spaced_multi,mask_set=2,block_table_unrolled2,3.877719
kmer_spaced_multi,mask_set=2,block_table_unrolled4,3.690482
kmer_spaced_multi,mask_set=2,block_table_unrolled8,3.766345
kmer_spaced_multi,mask_set=2,butterfly_table,2.646197
kmer_spaced_multi,mask_set=2,simd_butterfly_table_sse2,0.986756
kmer_spaced_multi,mask_set=2,simd_block_table_sse2,1.995092
kmer_spaced_multi,mask_set=2,simd_butterfly_table_avx2,0.710501
kmer_spaced_multi,mask_set=2,simd_block_table_avx2,1.244551
kmer_spaced_multi,mask_set=2,simd_butterfly_table_avx512,0.751989
kmer_spaced_multi,mask_set=2,simd_block_table_avx512,1.040472
kmer_spaced_multi,mask_set=2,simd_pext,0.426152
kmer_spaced_multi,mask_set=2,simd_butterfly_table_scalar,2.260369
kmer_spaced_multi,mask_set=2,simd_block_table_scalar,3.979689
