suite,case,benchmark,ns_per_op
kmer_spaced_single,mask=0,missh,32.392305
kmer_spaced_single,mask=0,naive,21.727639
kmer_spaced_single,mask=0,pext,1.462491
kmer_spaced_single,mask=0,bitloop,28.582981
kmer_spaced_single,mask=0,byte_table,7.784415
kmer_spaced_single,mask=0,block_table,5.308095
kmer_spaced_single,mask=0,block_table_unrolled2,5.102475
kmer_spaced_single,mask=0,block_table_unrolled4,4.555439
kmer_spaced_single,mask=0,block_table_unrolled8,4.291538
kmer_spaced_single,mask=0,butterfly_table,3.231235
kmer_spaced_single,mask=0,simd_butterfly_table_sse2,1.559684
kmer_spaced_single,mask=0,simd_block_table_sse2,1.502927
kmer_spaced_single,mask=0,simd_butterfly_table_avx2,4.089057
kmer_spaced_single,mask=0,simd_block_table_avx2,3.282498
kmer_spaced_single,mask=0,simd_butterfly_table_avx512,2.424018
kmer_spaced_single,mask=0,simd_block_table_avx512,2.302726
kmer_spaced_single,mask=0,simd_pext,1.200717
kmer_spaced_single,mask=0,simd_butterfly_table_scalar,3.758740
kmer_spaced_single,mask=0,simd_block_table_scalar,5.300388
kmer_spaced_single,mask=1,missh,32.387918
kmer_spaced_single,mask=1,naive,21.711970
kmer_spaced_single,mask=1,pext,1.465695
kmer_spaced_single,mask=1,bitloop,28.659639
kmer_spaced_single,mask=1,byte_table,7.780609
kmer_spaced_single,mask=1,block_table,5.300790
kmer_spaced_single,mask=1,block_table_unrolled2,5.103734
kmer_spaced_single,mask=1,block_table_unrolled4,4.556411
kmer_spaced_single,mask=1,block_table_unrolled8,4.300875
kmer_spaced_single,mask=1,butterfly_table,3.232590
kmer_spaced_single,mask=1,simd_butterfly_table_sse2,1.559873
kmer_spaced_single,mask=1,simd_block_table_sse2,1.498865
kmer_spaced_single,mask=1,simd_butterfly_table_avx2,4.097440
kmer_spaced_single,mask=1,simd_block_table_avx2,3.277920
kmer_spaced_single,mask=1,simd_butterfly_table_avx512,2.420681
kmer_spaced_single,mask=1,simd_block_table_avx512,2.306169
kmer_spaced_single,mask=1,simd_pext,1.201366
kmer_spaced_single,mask=1,simd_butterfly_table_scalar,3.762250
kmer_spaced_single,mask=1,simd_block_table_scalar,5.286827
