suite,case,benchmark,ns_per_op
bit_extract_weights,popcount=0,pext,5.552246
bit_extract_weights,popcount=0,bitloop,0.356934
bit_extract_weights,popcount=0,split32,0.836426
bit_extract_weights,popcount=0,byte_table,4.143555
bit_extract_weights,popcount=0,block_table,0.395996
bit_extract_weights,popcount=0,block_table_unrolled1,0.352539
bit_extract_weights,popcount=0,block_table_unrolled2,0.582520
bit_extract_weights,popcount=0,block_table_unrolled4,0.395996
bit_extract_weights,popcount=0,block_table_unrolled8,0.376953
bit_extract_weights,popcount=0,butterfly_table,1.360352
bit_extract_weights,popcount=0,adaptive,2.025391
bit_extract_weights,popcount=0,instlatx,1.536133
bit_extract_weights,popcount=0,zp7,4.417480
bit_extract_weights,popcount=1,pext,6.070801
bit_extract_weights,popcount=1,bitloop,0.998047
bit_extract_weights,popcount=1,split32,1.409180
bit_extract_weights,popcount=1,byte_table,4.158203
bit_extract_weights,popcount=1,block_table,0.899902
bit_extract_weights,popcount=1,block_table_unrolled1,0.880371
bit_extract_weights,popcount=1,block_table_unrolled2,1.120605
bit_extract_weights,popcount=1,block_table_unrolled4,1.624023
bit_extract_weights,popcount=1,block_table_unrolled8,2.221191
bit_extract_weights,popcount=1,butterfly_table,1.359863
bit_extract_weights,popcount=1,adaptive,1.829590
bit_extract_weights,popcount=1,instlatx,1.868652
bit_extract_weights,popcount=1,zp7,4.441895
bit_extract_weights,popcount=2,pext,7.020020
bit_extract_weights,popcount=2,bitloop,1.575195
bit_extract_weights,popcount=2,split32,2.054688
bit_extract_weights,popcount=2,byte_table,4.167969
bit_extract_weights,popcount=2,block_table,1.257324
bit_extract_weights,popcount=2,block_table_unrolled1,1.247559
bit_extract_weights,popcount=2,block_table_unrolled2,1.120117
bit_extract_weights,popcount=2,block_table_unrolled4,1.628906
bit_extract_weights,popcount=2,block_table_unrolled8,2.225586
bit_extract_weights,popcount=2,butterfly_table,1.359863
bit_extract_weights,popcount=2,adaptive,1.829590
bit_extract_weights,popcount=2,instlatx,1.550781
bit_extract_weights,popcount=2,zp7,4.437012
bit_extract_weights,popcount=3,pext,7.739258
bit_extract_weights,popcount=3,bitloop,2.221191
bit_extract_weights,popcount=3,split32,2.612305
bit_extract_weights,popcount=3,byte_table,4.177734
bit_extract_weights,popcount=3,block_table,1.541016
bit_extract_weights,popcount=3,block_table_unrolled1,1.531250
bit_extract_weights,popcount=3,block_table_unrolled2,1.707520
bit_extract_weights,popcount=3,block_table_unrolled4,1.638672
bit_extract_weights,popcount=3,block_table_unrolled8,2.245605
bit_extract_weights,popcount=3,butterfly_table,1.354980
bit_extract_weights,popcount=3,adaptive,2.196289
bit_extract_weights,popcount=3,instlatx,1.888184
bit_extract_weights,popcount=3,zp7,4.441895
bit_extract_weights,popcount=4,pext,8.703125
bit_extract_weights,popcount=4,bitloop,2.920410
bit_extract_weights,popcount=4,split32,3.252930
bit_extract_weights,popcount=4,byte_table,4.172852
