suite,case,benchmark,ns_per_op
kmer_extract,k=1,char_to_nt_ifs_re,7.644307
kmer_extract,k=1,char_to_nt_switch_re,7.553527
kmer_extract,k=1,char_to_nt_table_re,1.194178
kmer_extract,k=1,char_to_nt_ascii_re,1.493710
kmer_extract,k=1,char_to_nt_ifs_shift,7.078798
kmer_extract,k=1,char_to_nt_switch_shift,6.863575
kmer_extract,k=1,char_to_nt_table_shift,1.033761
kmer_extract,k=1,char_to_nt_ascii_shift,1.305992
kmer_extract,k=2,char_to_nt_ifs_re,9.851853
kmer_extract,k=2,char_to_nt_switch_re,10.133544
kmer_extract,k=2,char_to_nt_table_re,1.795940
kmer_extract,k=2,char_to_nt_ascii_re,2.412242
kmer_extract,k=2,char_to_nt_ifs_shift,7.085505
kmer_extract,k=2,char_to_nt_switch_shift,6.871089
kmer_extract,k=2,char_to_nt_table_shift,1.037206
kmer_extract,k=2,char_to_nt_ascii_shift,1.306736
kmer_extract,k=3,char_to_nt_ifs_re,12.056889
kmer_extract,k=3,char_to_nt_switch_re,11.675269
kmer_extract,k=3,char_to_nt_table_re,2.367178
kmer_extract,k=3,char_to_nt_ascii_re,3.305528
kmer_extract,k=3,char_to_nt_ifs_shift,7.084875
kmer_extract,k=3,char_to_nt_switch_shift,6.872441
kmer_extract,k=3,char_to_nt_table_shift,1.032105
kmer_extract,k=3,char_to_nt_ascii_shift,1.307060
kmer_extract,k=4,char_to_nt_ifs_re,16.275303
kmer_extract,k=4,char_to_nt_switch_re,19.137217
kmer_extract,k=4,char_to_nt_table_re,3.097606
kmer_extract,k=4,char_to_nt_ascii_re,4.311792
kmer_extract,k=4,char_to_nt_ifs_shift,7.081237
kmer_extract,k=4,char_to_nt_switch_shift,6.867716
kmer_extract,k=4,char_to_nt_table_shift,1.035352
kmer_extract,k=4,char_to_nt_ascii_shift,1.308133
kmer_extract,k=5,char_to_nt_ifs_re,23.544475
kmer_extract,k=5,char_to_nt_switch_re,30.384563
kmer_extract,k=5,char_to_nt_table_re,3.721256
kmer_extract,k=5,char_to_nt_ascii_re,5.148990
kmer_extract,k=5,char_to_nt_ifs_shift,7.085992
kmer_extract,k=5,char_to_nt_switch_shift,6.865792
kmer_extract,k=5,char_to_nt_table_shift,1.034614
kmer_extract,k=5,char_to_nt_ascii_shift,1.305855
kmer_extract,k=6,char_to_nt_ifs_re,34.041965
kmer_extract,k=6,char_to_nt_switch_re,41.562642
kmer_extract,k=6,char_to_nt_table_re,4.345016
kmer_extract,k=6,char_to_nt_ascii_re,6.162478
kmer_extract,k=6,char_to_nt_ifs_shift,7.074047
kmer_extract,k=6,char_to_nt_switch_shift,6.862395
kmer_extract,k=6,char_to_nt_table_shift,1.034149
kmer_extract,k=6,char_to_nt_ascii_shift,1.307487
kmer_extract,k=7,char_to_nt_ifs_re,43.642994
kmer_extract,k=7,char_to_nt_switch_re,49.257347
kmer_extract,k=7,char_to_nt_table_re,4.975236
kmer_extract,k=7,char_to_nt_ascii_re,7.081633
kmer_extract,k=7,char_to_nt_ifs_shift,7.082733
kmer_extract,k=7,char_to_nt_switch_shift,6.869628
kmer_extract,k=7,char_to_nt_table_shift,1.036185
kmer_extract,k=7,char_to_nt_ascii_shift,1.308959
kmer_extract,k=8,char_to_nt_ifs_re,49.333376
kmer_extract,k=8,char_to_nt_switch_re,53.948390
kmer_extract,k=8,char_to_nt_table_re,5.591841
kmer_extract,k=8,char_to_nt_ascii_re,8.088762
kmer_extract,k=8,char_to_nt_ifs_shift,7.082802
kmer_extract,k=8,char_to_nt_switch_shift,6.875483
kmer_extract,k=8,char_to_nt_table_shift,1.037355
kmer_extract,k=8,char_to_nt_ascii_shift,1.308380
kmer_extract,k=9,char_to_nt_ifs_re,53.774223
kmer_extract,k=9,char_to_nt_switch_re,57.009714
kmer_extract,k=9,char_to_nt_table_re,6.217928
kmer_extract,k=9,char_to_nt_ascii_re,8.914253
kmer_extract,k=9,char_to_nt_ifs_shift,7.088978
kmer_extract,k=9,char_to_nt_switch_shift,6.874706
kmer_extract,k=9,char_to_nt_table_shift,1.034639
kmer_extract,k=9,char_to_nt_ascii_shift,1.308692
kmer_extract,k=10,char_to_nt_ifs_re,55.267033
kmer_extract,k=10,char_to_nt_switch_re,59.440966
kmer_extract,k=10,char_to_nt_table_re,6.907438
kmer_extract,k=10,char_to_nt_ascii_re,9.944065
kmer_extract,k=10,char_to_nt_ifs_shift,7.085248
kmer_extract,k=10,char_to_nt_switch_shift,6.876254
kmer_extract,k=10,char_to_nt_table_shift,1.036213
kmer_extract,k=10,char_to_nt_ascii_shift,1.307080
kmer_extract,k=11,char_to_nt_ifs_re,57.634535
kmer_extract,k=11,char_to_nt_switch_re,61.781386
kmer_extract,k=11,char_to_nt_table_re,7.627181
kmer_extract,k=11,char_to_nt_ascii_re,10.872229
kmer_extract,k=11,char_to_nt_ifs_shift,7.087148
kmer_extract,k=11,char_to_nt_switch_shift,6.876489
kmer_extract,k=11,char_to_nt_table_shift,1.034455
kmer_extract,k=11,char_to_nt_ascii_shift,1.308528
kmer_extract,k=12,char_to_nt_ifs_re,60.777637
kmer_extract,k=12,char_to_nt_switch_re,64.023211
kmer_extract,k=12,char_to_nt_table_re,8.287845
kmer_extract,k=12,char_to_nt_ascii_re,11.825351
kmer_extract,k=12,char_to_nt_ifs_shift,7.086420
kmer_extract,k=12,char_to_nt_switch_shift,6.871650
kmer_extract,k=12,char_to_nt_table_shift,1.036888
kmer_extract,k=12,char_to_nt_ascii_shift,1.307962
kmer_extract,k=13,char_to_nt_ifs_re,64.426616
kmer_extract,k=13,char_to_nt_switch_re,66.402849
kmer_extract,k=13,char_to_nt_table_re,8.960802
kmer_extract,k=13,char_to_nt_ascii_re,12.669936
kmer_extract,k=13,char_to_nt_ifs_shift,7.103414
kmer_extract,k=13,char_to_nt_switch_shift,6.881770
kmer_extract,k=13,char_to_nt_table_shift,1.044187
kmer_extract,k=13,char_to_nt_ascii_shift,1.314652
kmer_extract,k=14,char_to_nt_ifs_re,66.972289
kmer_extract,k=14,char_to_nt_switch_re,68.641100
kmer_extract,k=14,char_to_nt_table_re,9.634392
kmer_extract,k=14,char_to_nt_ascii_re,13.730843
kmer_extract,k=14,char_to_nt_ifs_shift,7.104070
kmer_extract,k=14,char_to_nt_switch_shift,6.881584
kmer_extract,k=14,char_to_nt_table_shift,1.042480
kmer_extract,k=14,char_to_nt_ascii_shift,1.315947
kmer_extract,k=15,char_to_nt_ifs_re,69.719504
kmer_extract,k=15,char_to_nt_switch_re,70.854385
kmer_extract,k=15,char_to_nt_table_re,10.275136
kmer_extract,k=15,char_to_nt_ascii_re,14.661867
kmer_extract,k=15,char_to_nt_ifs_shift,7.102387
kmer_extract,k=15,char_to_nt_switch_shift,6.883911
kmer_extract,k=15,char_to_nt_table_shift,1.041053
