suite,case,benchmark,ns_per_op
kmer_spaced_multi,mask_set=0,naive,8.374491
kmer_spaced_multi,mask_set=0,pext,21.461029
kmer_spaced_multi,mask_set=0,bitloop,17.379480
kmer_spaced_multi,mask_set=0,byte_table,4.264237
kmer_spaced_multi,mask_set=0,block_table,2.330163
kmer_spaced_multi,mask_set=0,block_table_unrolled2,2.212441
kmer_spaced_multi,mask_set=0,block_table_unrolled4,2.302964
kmer_spaced_multi,mask_set=0,block_table_unrolled8,2.508920
kmer_spaced_multi,mask_set=0,butterfly_table,2.746849
kmer_spaced_multi,mask_set=0,simd_butterfly_table_sse2,1.427143
kmer_spaced_multi,mask_set=0,simd_block_table_sse2,1.523641
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx2,1.046468
kmer_spaced_multi,mask_set=0,simd_block_table_avx2,1.044218
kmer_spaced_multi,mask_set=0,simd_pext,20.677398
kmer_spaced_multi,mask_set=0,simd_butterfly_table_scalar,2.499982
kmer_spaced_multi,mask_set=0,simd_block_table_scalar,2.372349
kmer_spaced_multi,mask_set=1,naive,11.915748
kmer_spaced_multi,mask_set=1,pext,29.864930
kmer_spaced_multi,mask_set=1,bitloop,25.015271
kmer_spaced_multi,mask_set=1,byte_table,4.283903
kmer_spaced_multi,mask_set=1,block_table,4.017901
kmer_spaced_multi,mask_set=1,block_table_unrolled2,3.524911
kmer_spaced_multi,mask_set=1,block_table_unrolled4,3.606265
kmer_spaced_multi,mask_set=1,block_table_unrolled8,3.280217
kmer_spaced_multi,mask_set=1,butterfly_table,2.737904
kmer_spaced_multi,mask_set=1,simd_butterfly_table_sse2,1.430626
kmer_spaced_multi,mask_set=1,simd_block_table_sse2,2.001938
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx2,1.039731
kmer_spaced_multi,mask_set=1,simd_block_table_avx2,1.288301
kmer_spaced_multi,mask_set=1,simd_pext,28.395766
kmer_spaced_multi,mask_set=1,simd_butterfly_table_scalar,2.490693
kmer_spaced_multi,mask_set=1,simd_block_table_scalar,3.133309
kmer_spaced_multi,mask_set=2,naive,16.946819
kmer_spaced_multi,mask_set=2,pext,37.392625
kmer_spaced_multi,mask_set=2,bitloop,39.521338
kmer_spaced_multi,mask_set=2,byte_table,4.237809
kmer_spaced_multi,mask_set=2,block_table,4.296484
kmer_spaced_multi,mask_set=2,block_table_unrolled2,3.885585
kmer_spaced_multi,mask_set=2,block_table_unrolled4,3.866127
kmer_spaced_multi,mask_set=2,block_table_unrolled8,3.643860
kmer_spaced_multi,mask_set=2,butterfly_table,2.729652
kmer_spaced_multi,mask_set=2,simd_butterfly_table_sse2,1.425722
kmer_spaced_multi,mask_set=2,simd_block_table_sse2,2.250386
kmer_spaced_multi,mask_set=2,simd_butterfly_table_avx2,1.045594
kmer_spaced_multi,mask_set=2,simd_block_table_avx2,1.400835
kmer_spaced_multi,mask_set=2,simd_pext,36.313687
kmer_spaced_multi,mask_set=2,simd_butterfly_table_scalar,2.483561
kmer_spaced_multi,mask_set=2,simd_block_table_scalar,3.529359
kmer_spaced_multi,mask_set=3,naive,21.135903
kmer_spaced_multi,mask_set=3,pext,45.059707
kmer_spaced_multi,mask_set=3,bitloop,40.127833
kmer_spaced_multi,mask_set=3,byte_table,4.206565
kmer_spaced_multi,mask_set=3,block_table,3.940506
kmer_spaced_multi,mask_set=3,block_table_unrolled2,3.329424
kmer_spaced_multi,mask_set=3,block_table_unrolled4,3.177658
kmer_spaced_multi,mask_set=3,block_table_unrolled8,2.660015
kmer_spaced_multi,mask_set=3,butterfly_table,2.719186
kmer_spaced_multi,mask_set=3,simd_butterfly_table_sse2,1.427991
kmer_spaced_multi,mask_set=3,simd_block_table_sse2,1.628621
kmer_spaced_multi,mask_set=3,simd_butterfly_table_avx2,1.041903
kmer_spaced_multi,mask_set=3,simd_block_table_avx2,1.102069
kmer_spaced_multi,mask_set=3,simd_pext,43.893850
kmer_spaced_multi,mask_set=3,simd_butterfly_table_scalar,2.475513
kmer_spaced_multi,mask_set=3,simd_block_table_scalar,2.548243
kmer_spaced_multi,mask_set=4,naive,23.650298
kmer_spaced_multi,mask_set=4,pext,52.390044
kmer_spaced_multi,mask_set=4,bitloop,47.090985
kmer_spaced_multi,mask_set=4,byte_table,4.190099
kmer_spaced_multi,mask_set=4,block_table,2.808934
kmer_spaced_multi,mask_set=4,block_table_unrolled2,2.530420
kmer_spaced_multi,mask_set=4,block_table_unrolled4,2.911399
kmer_spaced_multi,mask_set=4,block_table_unrolled8,2.474115
kmer_spaced_multi,mask_set=4,butterfly_table,2.710711
kmer_spaced_multi,mask_set=4,simd_butterfly_table_sse2,1.428104
kmer_spaced_multi,mask_set=4,simd_block_table_sse2,1.517986
kmer_spaced_multi,mask_set=4,simd_butterfly_table_avx2,1.039239
kmer_spaced_multi,mask_set=4,simd_block_table_avx2,1.035075
kmer_spaced_multi,mask_set=4,simd_pext,51.644171
kmer_spaced_multi,mask_set=4,simd_butterfly_table_scalar,2.466827
kmer_spaced_multi,mask_set=4,simd_block_table_scalar,2.359492
