suite,case,benchmark,ns_per_op
single,W10L15,naive,10.7341
single,W10L15,FSH,9.63324
single,W10L15,ISSH,7.14553
multi,W10L15,naive,11.0092
multi,W10L15,FSH,10.5763
multi,W10L15,ISSH,7.35223
multi,W10L15,FSH_multi,10.5539
multi,W10L15,MISSH_v1,7.61833
multi,W10L15,MISSH_col,7.5049
multi,W10L15,MISSH_col_parallel,7.51639
multi,W10L15,MISSH_row,7.09015
single,W14L31,naive,11.5082
single,W14L31,FSH,12.0824
single,W14L31,ISSH,7.09047
multi,W14L31,naive,12.0273
multi,W14L31,FSH,12.6536
multi,W14L31,ISSH,7.69983
multi,W14L31,FSH_multi,13.4362
multi,W14L31,MISSH_v1,8.17366
multi,W14L31,MISSH_col,8.53561
multi,W14L31,MISSH_col_parallel,8.54736
multi,W14L31,MISSH_row,8.26359
single,W18L31,naive,13.4873
single,W18L31,FSH,12.3275
single,W18L31,ISSH,6.36202
multi,W18L31,naive,14.3758
multi,W18L31,FSH,14.3044
multi,W18L31,ISSH,7.14855
multi,W18L31,FSH_multi,14.7614
multi,W18L31,MISSH_v1,7.56561
multi,W18L31,MISSH_col,8.45985
multi,W18L31,MISSH_col_parallel,8.43425
multi,W18L31,MISSH_row,8.49423
single,W22L31,naive,16.0216
single,W22L31,FSH,12.2566
single,W22L31,ISSH,6.0108
multi,W22L31,naive,16.7668
multi,W22L31,FSH,13.647
multi,W22L31,ISSH,6.74961
multi,W22L31,FSH_multi,14.1965
multi,W22L31,MISSH_v1,6.91391
multi,W22L31,MISSH_col,7.61003
multi,W22L31,MISSH_col_parallel,7.60714
multi,W22L31,MISSH_row,7.31576
single,W26L31,naive,18.3733
single,W26L31,FSH,10.4632
single,W26L31,ISSH,5.55782
multi,W26L31,naive,19.1822
multi,W26L31,FSH,10.7037
multi,W26L31,ISSH,6.48624
multi,W26L31,FSH_multi,11.746
multi,W26L31,MISSH_v1,6.49742
multi,W26L31,MISSH_col,7.54914
multi,W26L31,MISSH_col_parallel,7.54387
multi,W26L31,MISSH_row,7.08484
single,W32L45,naive,19.1377
single,W32L45,FSH,12.76
single,W32L45,ISSH,5.33551
multi,W32L45,naive,20.1047
multi,W32L45,FSH,13.4632
multi,W32L45,ISSH,6.35332
multi,W32L45,FSH_multi,14.2492
multi,W32L45,MISSH_v1,6.65911
multi,W32L45,MISSH_col,7.55363
multi,W32L45,MISSH_col_parallel,7.5622
multi,W32L45,MISSH_row,7.83494
