suite,case,benchmark,ns_per_op
bit_extract_blocks,runs=0,pext,5.651289
bit_extract_blocks,runs=0,bitloop,0.542422
bit_extract_blocks,runs=0,split32,1.279727
bit_extract_blocks,runs=0,byte_table,6.498164
bit_extract_blocks,runs=0,block_table,0.541250
bit_extract_blocks,runs=0,block_table_unrolled1,0.542031
bit_extract_blocks,runs=0,block_table_unrolled2,0.786602
bit_extract_blocks,runs=0,block_table_unrolled4,0.542422
bit_extract_blocks,runs=0,block_table_unrolled8,0.542070
bit_extract_blocks,runs=0,butterfly_table,2.441680
bit_extract_blocks,runs=0,adaptive,2.614688
bit_extract_blocks,runs=0,instlatx,1.519688
bit_extract_blocks,runs=0,zp7,5.739297
bit_extract_blocks,runs=1,pext,33.420313
bit_extract_blocks,runs=1,bitloop,29.329023
bit_extract_blocks,runs=1,split32,44.997930
bit_extract_blocks,runs=1,byte_table,6.572539
bit_extract_blocks,runs=1,block_table,1.026172
bit_extract_blocks,runs=1,block_table_unrolled1,1.025352
bit_extract_blocks,runs=1,block_table_unrolled2,1.176016
bit_extract_blocks,runs=1,block_table_unrolled4,2.306680
bit_extract_blocks,runs=1,block_table_unrolled8,2.887461
bit_extract_blocks,runs=1,butterfly_table,2.441328
bit_extract_blocks,runs=1,adaptive,3.198984
bit_extract_blocks,runs=1,instlatx,4.853281
bit_extract_blocks,runs=1,zp7,5.739336
bit_extract_blocks,runs=2,pext,34.143906
bit_extract_blocks,runs=2,bitloop,30.603672
bit_extract_blocks,runs=2,split32,46.593125
bit_extract_blocks,runs=2,byte_table,6.693828
bit_extract_blocks,runs=2,block_table,1.525898
bit_extract_blocks,runs=2,block_table_unrolled1,1.521992
bit_extract_blocks,runs=2,block_table_unrolled2,1.176055
bit_extract_blocks,runs=2,block_table_unrolled4,2.275391
bit_extract_blocks,runs=2,block_table_unrolled8,2.894492
bit_extract_blocks,runs=2,butterfly_table,2.435469
bit_extract_blocks,runs=2,adaptive,3.130898
bit_extract_blocks,runs=2,instlatx,4.963242
bit_extract_blocks,runs=2,zp7,5.739297
bit_extract_blocks,runs=3,pext,31.241211
bit_extract_blocks,runs=3,bitloop,26.975742
bit_extract_blocks,runs=3,split32,42.820781
bit_extract_blocks,runs=3,byte_table,6.855859
bit_extract_blocks,runs=3,block_table,2.003359
bit_extract_blocks,runs=3,block_table_unrolled1,2.238594
bit_extract_blocks,runs=3,block_table_unrolled2,1.790469
bit_extract_blocks,runs=3,block_table_unrolled4,2.350938
bit_extract_blocks,runs=3,block_table_unrolled8,2.878086
bit_extract_blocks,runs=3,butterfly_table,2.433516
bit_extract_blocks,runs=3,adaptive,3.793867
bit_extract_blocks,runs=3,instlatx,4.868906
bit_extract_blocks,runs=3,zp7,5.739297
bit_extract_blocks,runs=4,pext,35.314844
bit_extract_blocks,runs=4,bitloop,32.647383
bit_extract_blocks,runs=4,split32,48.028242
bit_extract_blocks,runs=4,byte_table,7.034297
bit_extract_blocks,runs=4,block_table,2.730508
bit_extract_blocks,runs=4,block_table_unrolled1,2.641719
bit_extract_blocks,runs=4,block_table_unrolled2,1.796367
bit_extract_blocks,runs=4,block_table_unrolled4,2.330938
bit_extract_blocks,runs=4,block_table_unrolled8,2.888633
bit_extract_blocks,runs=4,butterfly_table,2.441680
bit_extract_blocks,runs=4,adaptive,4.151172
bit_extract_blocks,runs=4,instlatx,4.881445
bit_extract_blocks,runs=4,zp7,5.738906
bit_extract_blocks,runs=5,pext,34.345469
bit_extract_blocks,runs=5,bitloop,30.343008
bit_extract_blocks,runs=5,split32,46.924609
bit_extract_blocks,runs=5,byte_table,7.006914
bit_extract_blocks,runs=5,block_table,3.260820
bit_extract_blocks,runs=5,block_table_unrolled1,3.214609
bit_extract_blocks,runs=5,block_table_unrolled2,2.427227
bit_extract_blocks,runs=5,block_table_unrolled4,3.990352
bit_extract_blocks,runs=5,block_table_unrolled8,2.872578
bit_extract_blocks,runs=5,butterfly_table,2.434648
bit_extract_blocks,runs=5,adaptive,3.069453
bit_extract_blocks,runs=5,instlatx,4.951133
bit_extract_blocks,runs=5,zp7,5.774141
bit_extract_blocks,runs=6,pext,34.014766
bit_extract_blocks,runs=6,bitloop,30.354375
bit_extract_blocks,runs=6,split32,46.025625
bit_extract_blocks,runs=6,byte_table,7.153281
bit_extract_blocks,runs=6,block_table,3.716758
bit_extract_blocks,runs=6,block_table_unrolled1,3.745703
bit_extract_blocks,runs=6,block_table_unrolled2,2.429180
bit_extract_blocks,runs=6,block_table_unrolled4,4.017344
bit_extract_blocks,runs=6,block_table_unrolled8,2.892539
bit_extract_blocks,runs=6,butterfly_table,2.441328
bit_extract_blocks,runs=6,adaptive,3.069453
bit_extract_blocks,runs=6,instlatx,4.860313
bit_extract_blocks,runs=6,zp7,5.726406
bit_extract_blocks,runs=7,pext,35.208398
bit_extract_blocks,runs=7,bitloop,32.437578
bit_extract_blocks,runs=7,split32,48.450898
bit_extract_blocks,runs=7,byte_table,7.428438
bit_extract_blocks,runs=7,block_table,4.212227
bit_extract_blocks,runs=7,block_table_unrolled1,4.228672
bit_extract_blocks,runs=7,block_table_unrolled2,3.061641
bit_extract_blocks,runs=7,block_table_unrolled4,4.006367
bit_extract_blocks,runs=7,block_table_unrolled8,2.900000
bit_extract_blocks,runs=7,butterfly_table,2.441328
bit_extract_blocks,runs=7,adaptive,3.069023
bit_extract_blocks,runs=7,instlatx,4.679492
bit_extract_blocks,runs=7,zp7,5.739687
bit_extract_blocks,runs=8,pext,33.192109
bit_extract_blocks,runs=8,bitloop,29.200625
bit_extract_blocks,runs=8,split32,44.643750
bit_extract_blocks,runs=8,byte_table,7.462070
bit_extract_blocks,runs=8,block_table,4.679102
bit_extract_blocks,runs=8,block_table_unrolled1,4.813750
bit_extract_blocks,runs=8,block_table_unrolled2,3.063555
bit_extract_blocks,runs=8,block_table_unrolled4,4.002852
bit_extract_blocks,runs=8,block_table_unrolled8,2.961055
bit_extract_blocks,runs=8,butterfly_table,2.442070
bit_extract_blocks,runs=8,adaptive,3.069062
bit_extract_blocks,runs=8,instlatx,4.679922
bit_extract_blocks,runs=8,zp7,5.764336
bit_extract_blocks,runs=9,pext,33.533398
bit_extract_blocks,runs=9,bitloop,30.934375
bit_extract_blocks,runs=9,split32,45.174453
bit_extract_blocks,runs=9,byte_table,7.570508
bit_extract_blocks,runs=9,block_table,5.164805
bit_extract_blocks,runs=9,block_table_unrolled1,5.905273
bit_extract_blocks,runs=9,block_table_unrolled2,3.705039
bit_extract_blocks,runs=9,block_table_unrolled4,5.541680
bit_extract_blocks,runs=9,block_table_unrolled8,5.304141
bit_extract_blocks,runs=9,butterfly_table,2.434687
bit_extract_blocks,runs=9,adaptive,3.069062
bit_extract_blocks,runs=9,instlatx,4.679531
bit_extract_blocks,runs=9,zp7,5.756172
bit_extract_blocks,runs=10,pext,34.545078
bit_extract_blocks,runs=10,bitloop,31.220039
bit_extract_blocks,runs=10,split32,47.222852
bit_extract_blocks,runs=10,byte_table,7.659727
bit_extract_blocks,runs=10,block_table,5.670430
bit_extract_blocks,runs=10,block_table_unrolled1,5.664961
bit_extract_blocks,runs=10,block_table_unrolled2,3.688164
bit_extract_blocks,runs=10,block_table_unrolled4,5.551445
bit_extract_blocks,runs=10,block_table_unrolled8,5.280273
bit_extract_blocks,runs=10,butterfly_table,2.435039
bit_extract_blocks,runs=10,adaptive,3.069453
bit_extract_blocks,runs=10,instlatx,4.679492
bit_extract_blocks,runs=10,zp7,5.739297
bit_extract_blocks,runs=11,pext,34.735273
bit_extract_blocks,runs=11,bitloop,32.485312
bit_extract_blocks,runs=11,split32,47.271367
bit_extract_blocks,runs=11,byte_table,7.711016
bit_extract_blocks,runs=11,block_table,6.621836
bit_extract_blocks,runs=11,block_table_unrolled1,6.144375
bit_extract_blocks,runs=11,block_table_unrolled2,4.369141
bit_extract_blocks,runs=11,block_table_unrolled4,5.580430
bit_extract_blocks,runs=11,block_table_unrolled8,5.308438
bit_extract_blocks,runs=11,butterfly_table,2.433086
bit_extract_blocks,runs=11,adaptive,3.070234
bit_extract_blocks,runs=11,instlatx,4.708086
bit_extract_blocks,runs=11,zp7,5.739297
bit_extract_blocks,runs=12,pext,35.126250
bit_extract_blocks,runs=12,bitloop,32.909570
bit_extract_blocks,runs=12,split32,47.768008
bit_extract_blocks,runs=12,byte_table,7.647617
bit_extract_blocks,runs=12,block_table,7.181094
bit_extract_blocks,runs=12,block_table_unrolled1,7.098906
bit_extract_blocks,runs=12,block_table_unrolled2,4.365625
bit_extract_blocks,runs=12,block_table_unrolled4,5.561641
bit_extract_blocks,runs=12,block_table_unrolled8,5.311133
bit_extract_blocks,runs=12,butterfly_table,2.435039
bit_extract_blocks,runs=12,adaptive,3.069844
bit_extract_blocks,runs=12,instlatx,4.679531
bit_extract_blocks,runs=12,zp7,5.739297
bit_extract_blocks,runs=13,pext,34.718438
bit_extract_blocks,runs=13,bitloop,31.879492
bit_extract_blocks,runs=13,split32,47.879531
bit_extract_blocks,runs=13,byte_table,7.730156
bit_extract_blocks,runs=13,block_table,7.682422
bit_extract_blocks,runs=13,block_table_unrolled1,7.937188
bit_extract_blocks,runs=13,block_table_unrolled2,5.053242
bit_extract_blocks,runs=13,block_table_unrolled4,7.210039
bit_extract_blocks,runs=13,block_table_unrolled8,5.291602
bit_extract_blocks,runs=13,butterfly_table,2.440937
bit_extract_blocks,runs=13,adaptive,3.069805
bit_extract_blocks,runs=13,instlatx,4.679883
bit_extract_blocks,runs=13,zp7,5.739297
bit_extract_blocks,runs=14,pext,33.393281
bit_extract_blocks,runs=14,bitloop,30.347344
bit_extract_blocks,runs=14,split32,45.002266
bit_extract_blocks,runs=14,byte_table,8.086289
bit_extract_blocks,runs=14,block_table,8.144258
bit_extract_blocks,runs=14,block_table_unrolled1,8.072617
bit_extract_blocks,runs=14,block_table_unrolled2,5.101016
bit_extract_blocks,runs=14,block_table_unrolled4,7.185781
bit_extract_blocks,runs=14,block_table_unrolled8,5.296680
bit_extract_blocks,runs=14,butterfly_table,2.441719
bit_extract_blocks,runs=14,adaptive,3.070234
bit_extract_blocks,runs=14,instlatx,4.680273
bit_extract_blocks,runs=14,zp7,5.759648
bit_extract_blocks,runs=15,pext,33.202305
bit_extract_blocks,runs=15,bitloop,30.961758
bit_extract_blocks,runs=15,split32,44.621836
bit_extract_blocks,runs=15,byte_table,7.986875
bit_extract_blocks,runs=15,block_table,8.130898
bit_extract_blocks,runs=15,block_table_unrolled1,8.598984
bit_extract_blocks,runs=15,block_table_unrolled2,5.708008
bit_extract_blocks,runs=15,block_table_unrolled4,7.199883
bit_extract_blocks,runs=15,block_table_unrolled8,5.288477
bit_extract_blocks,runs=15,butterfly_table,2.441680
bit_extract_blocks,runs=15,adaptive,3.069844
bit_extract_blocks,runs=15,instlatx,4.679883
bit_extract_blocks,runs=15,zp7,5.759648
bit_extract_blocks,runs=16,pext,34.090703
bit_extract_blocks,runs=16,bitloop,31.180156
bit_extract_blocks,runs=16,split32,45.991602
bit_extract_blocks,runs=16,byte_table,8.489414
bit_extract_blocks,runs=16,block_table,8.575117
bit_extract_blocks,runs=16,block_table_unrolled1,8.624023
bit_extract_blocks,runs=16,block_table_unrolled2,5.669648
bit_extract_blocks,runs=16,block_table_unrolled4,7.220977
bit_extract_blocks,runs=16,block_table_unrolled8,5.280625
bit_extract_blocks,runs=16,butterfly_table,2.441680
bit_extract_blocks,runs=16,adaptive,3.070195
bit_extract_blocks,runs=16,instlatx,4.679883
bit_extract_blocks,runs=16,zp7,5.740898
bit_extract_blocks,runs=17,pext,34.127891
bit_extract_blocks,runs=17,bitloop,32.526406
bit_extract_blocks,runs=17,split32,48.063828
bit_extract_blocks,runs=17,byte_table,8.134844
bit_extract_blocks,runs=17,block_table,9.174648
bit_extract_blocks,runs=17,block_table_unrolled1,9.108555
bit_extract_blocks,runs=17,block_table_unrolled2,6.960781
bit_extract_blocks,runs=17,block_table_unrolled4,9.433750
bit_extract_blocks,runs=17,block_table_unrolled8,9.005625
bit_extract_blocks,runs=17,butterfly_table,2.441719
bit_extract_blocks,runs=17,adaptive,3.069844
bit_extract_blocks,runs=17,instlatx,4.679883
bit_extract_blocks,runs=17,zp7,5.766328
bit_extract_blocks,runs=18,pext,35.141094
bit_extract_blocks,runs=18,bitloop,32.695898
bit_extract_blocks,runs=18,split32,49.270430
bit_extract_blocks,runs=18,byte_table,8.157148
bit_extract_blocks,runs=18,block_table,10.109648
bit_extract_blocks,runs=18,block_table_unrolled1,10.124102
bit_extract_blocks,runs=18,block_table_unrolled2,6.956836
bit_extract_blocks,runs=18,block_table_unrolled4,9.413789
bit_extract_blocks,runs=18,block_table_unrolled8,9.020078
bit_extract_blocks,runs=18,butterfly_table,2.441680
bit_extract_blocks,runs=18,adaptive,3.070234
bit_extract_blocks,runs=18,instlatx,4.679883
bit_extract_blocks,runs=18,zp7,5.739297
bit_extract_blocks,runs=19,pext,33.826523
bit_extract_blocks,runs=19,bitloop,30.701133
bit_extract_blocks,runs=19,split32,46.097656
bit_extract_blocks,runs=19,byte_table,7.885937
bit_extract_blocks,runs=19,block_table,10.118672
bit_extract_blocks,runs=19,block_table_unrolled1,10.197695
bit_extract_blocks,runs=19,block_table_unrolled2,7.974375
bit_extract_blocks,runs=19,block_table_unrolled4,9.485430
bit_extract_blocks,runs=19,block_table_unrolled8,9.022070
bit_extract_blocks,runs=19,butterfly_table,2.447578
bit_extract_blocks,runs=19,adaptive,3.070625
bit_extract_blocks,runs=19,instlatx,4.685352
bit_extract_blocks,runs=19,zp7,5.774141
bit_extract_blocks,runs=20,pext,34.981445
bit_extract_blocks,runs=20,bitloop,32.718164
bit_extract_blocks,runs=20,split32,48.441133
bit_extract_blocks,runs=20,byte_table,7.893008
bit_extract_blocks,runs=20,block_table,11.437148
bit_extract_blocks,runs=20,block_table_unrolled1,11.166719
bit_extract_blocks,runs=20,block_table_unrolled2,8.017422
bit_extract_blocks,runs=20,block_table_unrolled4,9.433359
bit_extract_blocks,runs=20,block_table_unrolled8,9.038516
bit_extract_blocks,runs=20,butterfly_table,2.442500
bit_extract_blocks,runs=20,adaptive,3.070586
bit_extract_blocks,runs=20,instlatx,4.680703
bit_extract_blocks,runs=20,zp7,5.810156
bit_extract_blocks,runs=21,pext,34.176016
bit_extract_blocks,runs=21,bitloop,32.516641
bit_extract_blocks,runs=21,split32,46.791172
bit_extract_blocks,runs=21,byte_table,7.866758
bit_extract_blocks,runs=21,block_table,12.265234
bit_extract_blocks,runs=21,block_table_unrolled1,11.515039
bit_extract_blocks,runs=21,block_table_unrolled2,8.937148
bit_extract_blocks,runs=21,block_table_unrolled4,11.587031
