suite,case,benchmark,ns_per_op
kmer_spaced_multi,mask_set=0,naive,9.530801
kmer_spaced_multi,mask_set=0,pext,21.236689
kmer_spaced_multi,mask_set=0,bitloop,16.615060
kmer_spaced_multi,mask_set=0,byte_table,7.520755
kmer_spaced_multi,mask_set=0,block_table,3.901882
kmer_spaced_multi,mask_set=0,block_table_unrolled2,3.279435
kmer_spaced_multi,mask_set=0,block_table_unrolled4,4.352500
kmer_spaced_multi,mask_set=0,block_table_unrolled8,4.021632
kmer_spaced_multi,mask_set=0,butterfly_table,2.913468
kmer_spaced_multi,mask_set=0,simd_butterfly_table_sse2,2.180849
kmer_spaced_multi,mask_set=0,simd_block_table_sse2,2.213808
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx2,2.440625
kmer_spaced_multi,mask_set=0,simd_block_table_avx2,2.377725
kmer_spaced_multi,mask_set=0,simd_pext,20.482387
kmer_spaced_multi,mask_set=0,simd_butterfly_table_scalar,2.646094
kmer_spaced_multi,mask_set=0,simd_block_table_scalar,2.865990
kmer_spaced_multi,mask_set=1,naive,13.447807
kmer_spaced_multi,mask_set=1,pext,29.212038
kmer_spaced_multi,mask_set=1,bitloop,23.793397
kmer_spaced_multi,mask_set=1,byte_table,7.520424
kmer_spaced_multi,mask_set=1,block_table,6.172034
kmer_spaced_multi,mask_set=1,block_table_unrolled2,4.693262
kmer_spaced_multi,mask_set=1,block_table_unrolled4,5.558924
kmer_spaced_multi,mask_set=1,block_table_unrolled8,5.080972
kmer_spaced_multi,mask_set=1,butterfly_table,2.907858
kmer_spaced_multi,mask_set=1,simd_butterfly_table_sse2,2.177901
kmer_spaced_multi,mask_set=1,simd_block_table_sse2,2.395251
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx2,2.429294
kmer_spaced_multi,mask_set=1,simd_block_table_avx2,2.431990
kmer_spaced_multi,mask_set=1,simd_pext,28.303786
kmer_spaced_multi,mask_set=1,simd_butterfly_table_scalar,2.636026
kmer_spaced_multi,mask_set=1,simd_block_table_scalar,3.890008
kmer_spaced_multi,mask_set=2,naive,16.781763
kmer_spaced_multi,mask_set=2,pext,37.649575
kmer_spaced_multi,mask_set=2,bitloop,30.773220
kmer_spaced_multi,mask_set=2,byte_table,7.480532
kmer_spaced_multi,mask_set=2,block_table,6.433719
kmer_spaced_multi,mask_set=2,block_table_unrolled2,4.974024
kmer_spaced_multi,mask_set=2,block_table_unrolled4,5.755770
kmer_spaced_multi,mask_set=2,block_table_unrolled8,5.648309
kmer_spaced_multi,mask_set=2,butterfly_table,2.897655
kmer_spaced_multi,mask_set=2,simd_butterfly_table_sse2,2.175402
kmer_spaced_multi,mask_set=2,simd_block_table_sse2,2.402985
kmer_spaced_multi,mask_set=2,simd_butterfly_table_avx2,2.422324
kmer_spaced_multi,mask_set=2,simd_block_table_avx2,2.432053
kmer_spaced_multi,mask_set=2,simd_pext,36.068736
kmer_spaced_multi,mask_set=2,simd_butterfly_table_scalar,2.628472
kmer_spaced_multi,mask_set=2,simd_block_table_scalar,4.394025
kmer_spaced_multi,mask_set=3,naive,20.166338
kmer_spaced_multi,mask_set=3,pext,45.247177
kmer_spaced_multi,mask_set=3,bitloop,37.666808
kmer_spaced_multi,mask_set=3,byte_table,7.446989
kmer_spaced_multi,mask_set=3,block_table,6.705857
kmer_spaced_multi,mask_set=3,block_table_unrolled2,4.520105
kmer_spaced_multi,mask_set=3,block_table_unrolled4,5.159413
kmer_spaced_multi,mask_set=3,block_table_unrolled8,4.281334
kmer_spaced_multi,mask_set=3,butterfly_table,2.891715
kmer_spaced_multi,mask_set=3,simd_butterfly_table_sse2,2.173196
kmer_spaced_multi,mask_set=3,simd_block_table_sse2,2.215218
kmer_spaced_multi,mask_set=3,simd_butterfly_table_avx2,2.415382
kmer_spaced_multi,mask_set=3,simd_block_table_avx2,2.347466
kmer_spaced_multi,mask_set=3,simd_pext,43.753734
kmer_spaced_multi,mask_set=3,simd_butterfly_table_scalar,2.619089
kmer_spaced_multi,mask_set=3,simd_block_table_scalar,3.116654
kmer_spaced_multi,mask_set=4,naive,23.715207
kmer_spaced_multi,mask_set=4,pext,52.658703
kmer_spaced_multi,mask_set=4,bitloop,44.572152
kmer_spaced_multi,mask_set=4,byte_table,7.413943
kmer_spaced_multi,mask_set=4,block_table,4.491942
kmer_spaced_multi,mask_set=4,block_table_unrolled2,3.661258
kmer_spaced_multi,mask_set=4,block_table_unrolled4,4.878570
kmer_spaced_multi,mask_set=4,block_table_unrolled8,4.048335
kmer_spaced_multi,mask_set=4,butterfly_table,2.911008
kmer_spaced_multi,mask_set=4,simd_butterfly_table_sse2,2.173371
kmer_spaced_multi,mask_set=4,simd_block_table_sse2,2.229182
kmer_spaced_multi,mask_set=4,simd_butterfly_table_avx2,2.413698
kmer_spaced_multi,mask_set=4,simd_block_table_avx2,2.348246
kmer_spaced_multi,mask_set=4,simd_pext,51.600220
kmer_spaced_multi,mask_set=4,simd_butterfly_table_scalar,2.627020
kmer_spaced_multi,mask_set=4,simd_block_table_scalar,2.909869
