suite,case,benchmark,ns_per_op
single,W10L15,naive,21.0364
single,W10L15,FSH,7.40595
single,W10L15,ISSH,6.37258
multi,W10L15,naive,14.9771
multi,W10L15,FSH,11.9247
multi,W10L15,ISSH,9.45898
multi,W10L15,FSH_multi,13.9812
multi,W10L15,MISSH_v1,12.1971
multi,W10L15,MISSH_col,9.3203
multi,W10L15,MISSH_col_parallel,8.84785
multi,W10L15,MISSH_row,6.59588
single,W14L31,naive,13.5217
single,W14L31,FSH,12.8904
single,W14L31,ISSH,6.51071
multi,W14L31,naive,14.0496
multi,W14L31,FSH,18.5451
multi,W14L31,ISSH,11.6385
multi,W14L31,FSH_multi,16.6731
multi,W14L31,MISSH_v1,7.80947
multi,W14L31,MISSH_col,8.24973
multi,W14L31,MISSH_col_parallel,7.15955
multi,W14L31,MISSH_row,5.77709
single,W18L31,naive,11.3519
single,W18L31,FSH,9.24808
single,W18L31,ISSH,4.46457
multi,W18L31,naive,28.0404
multi,W18L31,FSH,11.9434
multi,W18L31,ISSH,5.67825
multi,W18L31,FSH_multi,27.3478
multi,W18L31,MISSH_v1,27.8709
multi,W18L31,MISSH_col,10.4871
multi,W18L31,MISSH_col_parallel,12.1717
multi,W18L31,MISSH_row,7.57759
single,W22L31,naive,16.4085
single,W22L31,FSH,9.85891
single,W22L31,ISSH,5.40512
multi,W22L31,naive,33.8038
multi,W22L31,FSH,30.4418
multi,W22L31,ISSH,22.4987
multi,W22L31,FSH_multi,20.9932
multi,W22L31,MISSH_v1,5.72074
multi,W22L31,MISSH_col,23.5661
multi,W22L31,MISSH_col_parallel,22.4057
multi,W22L31,MISSH_row,7.15872
single,W26L31,naive,22.284
single,W26L31,FSH,9.81159
single,W26L31,ISSH,5.19599
multi,W26L31,naive,33.6799
multi,W26L31,FSH,8.90858
multi,W26L31,ISSH,5.2848
multi,W26L31,FSH_multi,9.76911
multi,W26L31,MISSH_v1,4.02724
multi,W26L31,MISSH_col,6.40638
multi,W26L31,MISSH_col_parallel,6.25707
multi,W26L31,MISSH_row,5.88433
single,W32L45,naive,22.2253
single,W32L45,FSH,11.7619
single,W32L45,ISSH,5.60696
multi,W32L45,naive,23.3455
multi,W32L45,FSH,10.912
multi,W32L45,ISSH,5.56667
multi,W32L45,FSH_multi,13.2711
multi,W32L45,MISSH_v1,4.52459
multi,W32L45,MISSH_col,7.16407
multi,W32L45,MISSH_col_parallel,8.75398
multi,W32L45,MISSH_row,8.33539
