suite,case,benchmark,ns_per_op
bit_extract_blocks,runs=0,bitloop,0.322266
bit_extract_blocks,runs=0,split32,0.717773
bit_extract_blocks,runs=0,byte_table,3.417969
bit_extract_blocks,runs=0,block_table,0.322266
bit_extract_blocks,runs=0,block_table_unrolled1,0.322266
bit_extract_blocks,runs=0,block_table_unrolled2,0.411797
bit_extract_blocks,runs=0,block_table_unrolled4,0.413398
bit_extract_blocks,runs=0,block_table_unrolled8,0.366211
bit_extract_blocks,runs=0,butterfly_table,1.914062
bit_extract_blocks,runs=0,adaptive,1.850586
bit_extract_blocks,runs=0,zp7,6.114883
bit_extract_blocks,runs=1,bitloop,28.780898
bit_extract_blocks,runs=1,split32,23.261719
bit_extract_blocks,runs=1,byte_table,3.413086
bit_extract_blocks,runs=1,block_table,0.805664
bit_extract_blocks,runs=1,block_table_unrolled1,0.804023
bit_extract_blocks,runs=1,block_table_unrolled2,1.059570
bit_extract_blocks,runs=1,block_table_unrolled4,1.442070
bit_extract_blocks,runs=1,block_table_unrolled8,2.167969
bit_extract_blocks,runs=1,butterfly_table,1.912422
bit_extract_blocks,runs=1,adaptive,1.210938
bit_extract_blocks,runs=1,zp7,6.114922
bit_extract_blocks,runs=2,bitloop,31.373672
bit_extract_blocks,runs=2,split32,24.394531
bit_extract_blocks,runs=2,byte_table,3.416328
bit_extract_blocks,runs=2,block_table,1.271172
bit_extract_blocks,runs=2,block_table_unrolled1,1.272773
bit_extract_blocks,runs=2,block_table_unrolled2,1.057930
bit_extract_blocks,runs=2,block_table_unrolled4,1.440430
bit_extract_blocks,runs=2,block_table_unrolled8,2.169570
bit_extract_blocks,runs=2,butterfly_table,1.912422
bit_extract_blocks,runs=2,adaptive,1.665039
bit_extract_blocks,runs=2,zp7,6.118164
bit_extract_blocks,runs=3,bitloop,33.136406
bit_extract_blocks,runs=3,split32,24.846992
bit_extract_blocks,runs=3,byte_table,3.417969
bit_extract_blocks,runs=3,block_table,1.904297
bit_extract_blocks,runs=3,block_table_unrolled1,1.904297
bit_extract_blocks,runs=3,block_table_unrolled2,1.570625
bit_extract_blocks,runs=3,block_table_unrolled4,1.443672
bit_extract_blocks,runs=3,block_table_unrolled8,2.169570
bit_extract_blocks,runs=3,butterfly_table,1.912422
bit_extract_blocks,runs=3,adaptive,1.931953
bit_extract_blocks,runs=3,zp7,6.118164
bit_extract_blocks,runs=4,bitloop,33.240547
bit_extract_blocks,runs=4,split32,24.278945
bit_extract_blocks,runs=4,byte_table,3.409805
bit_extract_blocks,runs=4,block_table,2.223281
bit_extract_blocks,runs=4,block_table_unrolled1,2.220078
bit_extract_blocks,runs=4,block_table_unrolled2,1.570625
bit_extract_blocks,runs=4,block_table_unrolled4,1.442070
bit_extract_blocks,runs=4,block_table_unrolled8,2.169609
bit_extract_blocks,runs=4,butterfly_table,1.914062
bit_extract_blocks,runs=4,adaptive,1.925430
bit_extract_blocks,runs=4,zp7,6.118164
bit_extract_blocks,runs=5,bitloop,29.262695
bit_extract_blocks,runs=5,split32,23.255195
bit_extract_blocks,runs=5,byte_table,3.408203
bit_extract_blocks,runs=5,block_table,2.605781
bit_extract_blocks,runs=5,block_table_unrolled1,2.592773
bit_extract_blocks,runs=5,block_table_unrolled2,2.075195
bit_extract_blocks,runs=5,block_table_unrolled4,2.335625
bit_extract_blocks,runs=5,block_table_unrolled8,2.169570
bit_extract_blocks,runs=5,butterfly_table,1.912422
bit_extract_blocks,runs=5,adaptive,2.364883
bit_extract_blocks,runs=5,zp7,6.118164
bit_extract_blocks,runs=6,bitloop,33.276367
bit_extract_blocks,runs=6,split32,24.516602
bit_extract_blocks,runs=6,byte_table,3.409844
bit_extract_blocks,runs=6,block_table,3.061523
