suite,case,benchmark,ns_per_op
bit_extract_weights,popcount=0,bitloop,0.386230
bit_extract_weights,popcount=0,split32,0.691406
bit_extract_weights,popcount=0,byte_table,3.417969
bit_extract_weights,popcount=0,block_table,0.386230
bit_extract_weights,popcount=0,block_table_unrolled1,0.386230
bit_extract_weights,popcount=0,block_table_unrolled2,0.386230
bit_extract_weights,popcount=0,block_table_unrolled4,0.386230
bit_extract_weights,popcount=0,block_table_unrolled8,0.386230
bit_extract_weights,popcount=0,butterfly_table,1.892090
bit_extract_weights,popcount=0,adaptive,1.933105
bit_extract_weights,popcount=0,zp7,6.164551
bit_extract_weights,popcount=1,bitloop,0.772949
bit_extract_weights,popcount=1,split32,1.139160
bit_extract_weights,popcount=1,byte_table,3.397461
bit_extract_weights,popcount=1,block_table,0.732422
bit_extract_weights,popcount=1,block_table_unrolled1,0.752441
bit_extract_weights,popcount=1,block_table_unrolled2,1.017090
bit_extract_weights,popcount=1,block_table_unrolled4,1.403809
bit_extract_weights,popcount=1,block_table_unrolled8,2.176758
bit_extract_weights,popcount=1,butterfly_table,1.892090
bit_extract_weights,popcount=1,adaptive,1.118652
bit_extract_weights,popcount=1,zp7,6.164551
bit_extract_weights,popcount=2,bitloop,1.281738
bit_extract_weights,popcount=2,split32,1.729492
bit_extract_weights,popcount=2,byte_table,3.397461
bit_extract_weights,popcount=2,block_table,1.200195
bit_extract_weights,popcount=2,block_table_unrolled1,1.200195
bit_extract_weights,popcount=2,block_table_unrolled2,1.017090
bit_extract_weights,popcount=2,block_table_unrolled4,1.403809
bit_extract_weights,popcount=2,block_table_unrolled8,2.176758
bit_extract_weights,popcount=2,butterfly_table,1.872070
bit_extract_weights,popcount=2,adaptive,1.607422
bit_extract_weights,popcount=2,zp7,6.144043
bit_extract_weights,popcount=3,bitloop,1.993652
bit_extract_weights,popcount=3,split32,2.380371
bit_extract_weights,popcount=3,byte_table,3.397461
bit_extract_weights,popcount=3,block_table,1.810547
bit_extract_weights,popcount=3,block_table_unrolled1,1.810547
bit_extract_weights,popcount=3,block_table_unrolled2,1.423828
bit_extract_weights,popcount=3,block_table_unrolled4,1.403809
bit_extract_weights,popcount=3,block_table_unrolled8,2.176758
bit_extract_weights,popcount=3,butterfly_table,1.892090
bit_extract_weights,popcount=3,adaptive,1.790039
bit_extract_weights,popcount=3,zp7,6.164551
bit_extract_weights,popcount=4,bitloop,2.380371
bit_extract_weights,popcount=4,split32,2.624512
bit_extract_weights,popcount=4,byte_table,3.397461
bit_extract_weights,popcount=4,block_table,2.197266
bit_extract_weights,popcount=4,block_table_unrolled1,2.197266
bit_extract_weights,popcount=4,block_table_unrolled2,1.525879
bit_extract_weights,popcount=4,block_table_unrolled4,1.403809
bit_extract_weights,popcount=4,block_table_unrolled8,2.176758
bit_extract_weights,popcount=4,butterfly_table,1.872070
bit_extract_weights,popcount=4,adaptive,1.851074
bit_extract_weights,popcount=4,zp7,6.164551
bit_extract_weights,popcount=5,bitloop,2.929688
bit_extract_weights,popcount=5,split32,3.234863
bit_extract_weights,popcount=5,byte_table,3.397461
