suite,case,benchmark,ns_per_op
kmer_spaced_single,mask=0,missh,140.937863
kmer_spaced_single,mask=0,naive,10.816486
kmer_spaced_single,mask=0,bitloop,37.385024
kmer_spaced_single,mask=0,byte_table,3.047473
kmer_spaced_single,mask=0,block_table,3.524722
kmer_spaced_single,mask=0,block_table_unrolled2,2.924606
kmer_spaced_single,mask=0,block_table_unrolled4,2.636349
kmer_spaced_single,mask=0,block_table_unrolled8,2.406626
kmer_spaced_single,mask=0,butterfly_table,2.403407
kmer_spaced_single,mask=0,simd_butterfly_table_neon,1.390219
kmer_spaced_single,mask=0,simd_block_table_neon,1.588192
kmer_spaced_single,mask=0,simd_butterfly_table_scalar,2.445768
kmer_spaced_single,mask=0,simd_block_table_scalar,2.439886
kmer_spaced_single,mask=1,missh,143.197303
kmer_spaced_single,mask=1,naive,10.814380
kmer_spaced_single,mask=1,bitloop,37.379857
kmer_spaced_single,mask=1,byte_table,3.049659
kmer_spaced_single,mask=1,block_table,3.523212
kmer_spaced_single,mask=1,block_table_unrolled2,2.922976
kmer_spaced_single,mask=1,block_table_unrolled4,2.636747
kmer_spaced_single,mask=1,block_table_unrolled8,2.406070
kmer_spaced_single,mask=1,butterfly_table,2.402890
kmer_spaced_single,mask=1,simd_butterfly_table_neon,1.389901
kmer_spaced_single,mask=1,simd_block_table_neon,1.587873
kmer_spaced_single,mask=1,simd_butterfly_table_scalar,2.447198
kmer_spaced_single,mask=1,simd_block_table_scalar,2.439846
kmer_spaced_single,mask=2,missh,143.173459
kmer_spaced_single,mask=2,naive,10.814857
kmer_spaced_single,mask=2,bitloop,37.384626
kmer_spaced_single,mask=2,byte_table,3.036347
kmer_spaced_single,mask=2,block_table,3.522020
kmer_spaced_single,mask=2,block_table_unrolled2,2.922022
kmer_spaced_single,mask=2,block_table_unrolled4,2.635674
kmer_spaced_single,mask=2,block_table_unrolled8,2.406030
kmer_spaced_single,mask=2,butterfly_table,2.402097
kmer_spaced_single,mask=2,simd_butterfly_table_neon,1.389662
kmer_spaced_single,mask=2,simd_block_table_neon,1.587992
kmer_spaced_single,mask=2,simd_butterfly_table_scalar,2.444020
kmer_spaced_single,mask=2,simd_block_table_scalar,2.439847
kmer_spaced_single,mask=3,missh,142.338772
kmer_spaced_single,mask=3,naive,10.815811
kmer_spaced_single,mask=3,bitloop,37.375804
kmer_spaced_single,mask=3,byte_table,3.047712
kmer_spaced_single,mask=3,block_table,3.523331
kmer_spaced_single,mask=3,block_table_unrolled2,2.924288
kmer_spaced_single,mask=3,block_table_unrolled4,2.637462
kmer_spaced_single,mask=3,block_table_unrolled8,2.406268
kmer_spaced_single,mask=3,butterfly_table,2.403526
kmer_spaced_single,mask=3,simd_butterfly_table_neon,1.388748
kmer_spaced_single,mask=3,simd_block_table_neon,1.587953
kmer_spaced_single,mask=3,simd_butterfly_table_scalar,2.445370
kmer_spaced_single,mask=3,simd_block_table_scalar,2.439847
kmer_spaced_single,mask=4,missh,139.272303
kmer_spaced_single,mask=4,naive,10.819944
kmer_spaced_single,mask=4,bitloop,37.372546
kmer_spaced_single,mask=4,byte_table,3.072707
