suite,case,benchmark,ns_per_op
kmer_extract,k=1,char_to_nt_ifs_re,7.540976
kmer_extract,k=1,char_to_nt_switch_re,7.323494
kmer_extract,k=1,char_to_nt_table_re,0.978614
kmer_extract,k=1,char_to_nt_ascii_re,1.244853
kmer_extract,k=1,char_to_nt_ifs_shift,6.997337
kmer_extract,k=1,char_to_nt_switch_shift,6.622106
kmer_extract,k=1,char_to_nt_table_shift,1.063898
kmer_extract,k=1,char_to_nt_ascii_shift,1.120110
kmer_extract,k=2,char_to_nt_ifs_re,8.550731
kmer_extract,k=2,char_to_nt_switch_re,8.387494
kmer_extract,k=2,char_to_nt_table_re,1.386475
kmer_extract,k=2,char_to_nt_ascii_re,2.034512
kmer_extract,k=2,char_to_nt_ifs_shift,6.794077
kmer_extract,k=2,char_to_nt_switch_shift,6.588639
kmer_extract,k=2,char_to_nt_table_shift,1.054323
kmer_extract,k=2,char_to_nt_ascii_shift,1.109720
kmer_extract,k=3,char_to_nt_ifs_re,10.446221
kmer_extract,k=3,char_to_nt_switch_re,10.403787
kmer_extract,k=3,char_to_nt_table_re,2.122203
kmer_extract,k=3,char_to_nt_ascii_re,2.660364
kmer_extract,k=3,char_to_nt_ifs_shift,6.740757
kmer_extract,k=3,char_to_nt_switch_shift,6.889987
kmer_extract,k=3,char_to_nt_table_shift,1.051100
kmer_extract,k=3,char_to_nt_ascii_shift,1.109096
kmer_extract,k=4,char_to_nt_ifs_re,12.285228
kmer_extract,k=4,char_to_nt_switch_re,11.688897
kmer_extract,k=4,char_to_nt_table_re,2.454054
kmer_extract,k=4,char_to_nt_ascii_re,3.477285
kmer_extract,k=4,char_to_nt_ifs_shift,6.959011
kmer_extract,k=4,char_to_nt_switch_shift,6.887148
kmer_extract,k=4,char_to_nt_table_shift,1.061234
kmer_extract,k=4,char_to_nt_ascii_shift,1.121032
kmer_extract,k=5,char_to_nt_ifs_re,16.018621
kmer_extract,k=5,char_to_nt_switch_re,14.787820
kmer_extract,k=5,char_to_nt_table_re,3.268835
kmer_extract,k=5,char_to_nt_ascii_re,5.221879
kmer_extract,k=5,char_to_nt_ifs_shift,7.186440
kmer_extract,k=5,char_to_nt_switch_shift,6.951781
kmer_extract,k=5,char_to_nt_table_shift,1.092562
kmer_extract,k=5,char_to_nt_ascii_shift,1.152053
kmer_extract,k=6,char_to_nt_ifs_re,27.667173
kmer_extract,k=6,char_to_nt_switch_re,28.745138
kmer_extract,k=6,char_to_nt_table_re,3.111973
kmer_extract,k=6,char_to_nt_ascii_re,5.025376
kmer_extract,k=6,char_to_nt_ifs_shift,6.624472
kmer_extract,k=6,char_to_nt_switch_shift,6.675772
kmer_extract,k=6,char_to_nt_table_shift,1.038939
kmer_extract,k=6,char_to_nt_ascii_shift,1.105850
kmer_extract,k=7,char_to_nt_ifs_re,48.427993
kmer_extract,k=7,char_to_nt_switch_re,48.415128
kmer_extract,k=7,char_to_nt_table_re,3.725292
kmer_extract,k=7,char_to_nt_ascii_re,6.348144
kmer_extract,k=7,char_to_nt_ifs_shift,7.084673
kmer_extract,k=7,char_to_nt_switch_shift,7.090276
kmer_extract,k=7,char_to_nt_table_shift,1.041905
kmer_extract,k=7,char_to_nt_ascii_shift,1.096722
kmer_extract,k=8,char_to_nt_ifs_re,55.126722
kmer_extract,k=8,char_to_nt_switch_re,55.975697
kmer_extract,k=8,char_to_nt_table_re,3.993483
kmer_extract,k=8,char_to_nt_ascii_re,7.006677
