suite,case,benchmark,ns_per_op
single,W10L15,naive,7.67757
single,W10L15,FSH,7.80833
single,W10L15,ISSH,5.62827
multi,W10L15,naive,7.67782
multi,W10L15,FSH,8.41397
multi,W10L15,ISSH,5.77525
multi,W10L15,FSH_multi,8.8808
multi,W10L15,MISSH_v1,5.7215
multi,W10L15,MISSH_col,6.19514
multi,W10L15,MISSH_col_parallel,6.23273
multi,W10L15,MISSH_row,5.96939
single,W14L31,naive,8.22387
single,W14L31,FSH,10.4272
single,W14L31,ISSH,5.44276
multi,W14L31,naive,8.53919
multi,W14L31,FSH,10.1482
multi,W14L31,ISSH,5.9123
multi,W14L31,FSH_multi,10.6105
multi,W14L31,MISSH_v1,6.36155
multi,W14L31,MISSH_col,7.18512
multi,W14L31,MISSH_col_parallel,7.19255
multi,W14L31,MISSH_row,7.0502
single,W18L31,naive,9.32977
single,W18L31,FSH,10.3038
single,W18L31,ISSH,4.82097
multi,W18L31,naive,9.77358
multi,W18L31,FSH,11.2746
multi,W18L31,ISSH,5.51611
multi,W18L31,FSH_multi,11.9667
multi,W18L31,MISSH_v1,5.70624
multi,W18L31,MISSH_col,6.97119
multi,W18L31,MISSH_col_parallel,7.07251
multi,W18L31,MISSH_row,7.53377
single,W22L31,naive,10.6837
single,W22L31,FSH,10.2222
single,W22L31,ISSH,4.84986
multi,W22L31,naive,11.2563
multi,W22L31,FSH,11.2131
multi,W22L31,ISSH,5.20411
multi,W22L31,FSH_multi,11.6977
multi,W22L31,MISSH_v1,5.08444
multi,W22L31,MISSH_col,6.15709
multi,W22L31,MISSH_col_parallel,6.18568
multi,W22L31,MISSH_row,6.19293
single,W26L31,naive,12.2414
single,W26L31,FSH,8.84262
single,W26L31,ISSH,4.44758
multi,W26L31,naive,12.7864
multi,W26L31,FSH,8.94087
multi,W26L31,ISSH,5.04974
multi,W26L31,FSH_multi,10.4003
multi,W26L31,MISSH_v1,4.76465
multi,W26L31,MISSH_col,6.13564
multi,W26L31,MISSH_col_parallel,6.18101
multi,W26L31,MISSH_row,5.93025
