suite,case,benchmark,ns_per_op
bit_extract_blocks,runs=0,pext,0.415938
bit_extract_blocks,runs=0,bitloop,0.490312
bit_extract_blocks,runs=0,split32,0.971562
bit_extract_blocks,runs=0,byte_table,4.829844
bit_extract_blocks,runs=0,block_table,0.339414
bit_extract_blocks,runs=0,block_table_unrolled1,0.470156
bit_extract_blocks,runs=0,block_table_unrolled2,0.639609
bit_extract_blocks,runs=0,block_table_unrolled4,0.340273
bit_extract_blocks,runs=0,block_table_unrolled8,0.541094
bit_extract_blocks,runs=0,butterfly_table,1.873672
bit_extract_blocks,runs=0,adaptive,1.321797
bit_extract_blocks,runs=0,instlatx,1.650391
bit_extract_blocks,runs=0,zp7,4.468984
bit_extract_blocks,runs=1,pext,0.428203
bit_extract_blocks,runs=1,bitloop,32.228281
bit_extract_blocks,runs=1,split32,21.205313
bit_extract_blocks,runs=1,byte_table,4.818086
bit_extract_blocks,runs=1,block_table,0.944219
bit_extract_blocks,runs=1,block_table_unrolled1,0.951797
bit_extract_blocks,runs=1,block_table_unrolled2,1.246055
bit_extract_blocks,runs=1,block_table_unrolled4,1.717812
bit_extract_blocks,runs=1,block_table_unrolled8,2.124648
bit_extract_blocks,runs=1,butterfly_table,1.872969
bit_extract_blocks,runs=1,adaptive,1.275352
bit_extract_blocks,runs=1,instlatx,4.621484
bit_extract_blocks,runs=1,zp7,4.470000
bit_extract_blocks,runs=2,pext,0.428711
bit_extract_blocks,runs=2,bitloop,32.713945
bit_extract_blocks,runs=2,split32,21.554805
bit_extract_blocks,runs=2,byte_table,4.840859
bit_extract_blocks,runs=2,block_table,1.413398
bit_extract_blocks,runs=2,block_table_unrolled1,1.436211
bit_extract_blocks,runs=2,block_table_unrolled2,1.245156
bit_extract_blocks,runs=2,block_table_unrolled4,1.716680
bit_extract_blocks,runs=2,block_table_unrolled8,2.076953
bit_extract_blocks,runs=2,butterfly_table,1.873867
bit_extract_blocks,runs=2,adaptive,1.408945
bit_extract_blocks,runs=2,instlatx,4.579414
bit_extract_blocks,runs=2,zp7,4.468594
bit_extract_blocks,runs=3,pext,0.433125
bit_extract_blocks,runs=3,bitloop,29.794727
bit_extract_blocks,runs=3,split32,19.305156
bit_extract_blocks,runs=3,byte_table,4.936328
bit_extract_blocks,runs=3,block_table,1.967891
bit_extract_blocks,runs=3,block_table_unrolled1,2.066562
bit_extract_blocks,runs=3,block_table_unrolled2,2.423320
bit_extract_blocks,runs=3,block_table_unrolled4,1.717109
bit_extract_blocks,runs=3,block_table_unrolled8,2.124531
bit_extract_blocks,runs=3,butterfly_table,1.871641
bit_extract_blocks,runs=3,adaptive,1.408828
bit_extract_blocks,runs=3,instlatx,4.424102
bit_extract_blocks,runs=3,zp7,4.468633
bit_extract_blocks,runs=4,pext,0.430586
bit_extract_blocks,runs=4,bitloop,33.870586
bit_extract_blocks,runs=4,split32,22.414180
bit_extract_blocks,runs=4,byte_table,4.965703
bit_extract_blocks,runs=4,block_table,2.580391
bit_extract_blocks,runs=4,block_table_unrolled1,2.664180
bit_extract_blocks,runs=4,block_table_unrolled2,2.428047
bit_extract_blocks,runs=4,block_table_unrolled4,1.716523
bit_extract_blocks,runs=4,block_table_unrolled8,2.124062
bit_extract_blocks,runs=4,butterfly_table,1.871211
bit_extract_blocks,runs=4,adaptive,1.409531
bit_extract_blocks,runs=4,instlatx,4.793437
bit_extract_blocks,runs=4,zp7,4.468711
bit_extract_blocks,runs=5,pext,0.418281
bit_extract_blocks,runs=5,bitloop,33.626016
bit_extract_blocks,runs=5,split32,21.497539
bit_extract_blocks,runs=5,byte_table,5.065469
bit_extract_blocks,runs=5,block_table,2.609102
bit_extract_blocks,runs=5,block_table_unrolled1,3.075703
bit_extract_blocks,runs=5,block_table_unrolled2,3.057578
bit_extract_blocks,runs=5,block_table_unrolled4,2.952539
bit_extract_blocks,runs=5,block_table_unrolled8,2.072656
bit_extract_blocks,runs=5,butterfly_table,1.874023
bit_extract_blocks,runs=5,adaptive,1.370937
bit_extract_blocks,runs=5,instlatx,4.753984
bit_extract_blocks,runs=5,zp7,4.471406
bit_extract_blocks,runs=6,pext,0.419180
bit_extract_blocks,runs=6,bitloop,32.369844
bit_extract_blocks,runs=6,split32,21.017773
bit_extract_blocks,runs=6,byte_table,5.039414
bit_extract_blocks,runs=6,block_table,3.353594
bit_extract_blocks,runs=6,block_table_unrolled1,2.938906
bit_extract_blocks,runs=6,block_table_unrolled2,2.773594
bit_extract_blocks,runs=6,block_table_unrolled4,2.993047
bit_extract_blocks,runs=6,block_table_unrolled8,2.076250
bit_extract_blocks,runs=6,butterfly_table,1.874219
bit_extract_blocks,runs=6,adaptive,1.322539
bit_extract_blocks,runs=6,instlatx,4.766523
bit_extract_blocks,runs=6,zp7,4.471758
bit_extract_blocks,runs=7,pext,0.420781
bit_extract_blocks,runs=7,bitloop,35.005625
bit_extract_blocks,runs=7,split32,21.877539
bit_extract_blocks,runs=7,byte_table,5.075234
bit_extract_blocks,runs=7,block_table,3.270703
bit_extract_blocks,runs=7,block_table_unrolled1,3.357500
bit_extract_blocks,runs=7,block_table_unrolled2,3.848242
bit_extract_blocks,runs=7,block_table_unrolled4,2.962344
bit_extract_blocks,runs=7,block_table_unrolled8,2.057852
bit_extract_blocks,runs=7,butterfly_table,1.873516
bit_extract_blocks,runs=7,adaptive,1.322383
bit_extract_blocks,runs=7,instlatx,4.832422
bit_extract_blocks,runs=7,zp7,4.468867
bit_extract_blocks,runs=8,pext,0.432148
bit_extract_blocks,runs=8,bitloop,32.311367
bit_extract_blocks,runs=8,split32,20.400352
bit_extract_blocks,runs=8,byte_table,5.141875
bit_extract_blocks,runs=8,block_table,3.644687
bit_extract_blocks,runs=8,block_table_unrolled1,3.679648
bit_extract_blocks,runs=8,block_table_unrolled2,3.852734
bit_extract_blocks,runs=8,block_table_unrolled4,2.957656
bit_extract_blocks,runs=8,block_table_unrolled8,2.124570
bit_extract_blocks,runs=8,butterfly_table,1.878789
bit_extract_blocks,runs=8,adaptive,1.323203
bit_extract_blocks,runs=8,instlatx,4.832227
bit_extract_blocks,runs=8,zp7,4.472695
bit_extract_blocks,runs=9,pext,0.409609
bit_extract_blocks,runs=9,bitloop,33.004023
bit_extract_blocks,runs=9,split32,20.701094
bit_extract_blocks,runs=9,byte_table,5.094688
bit_extract_blocks,runs=9,block_table,4.104258
bit_extract_blocks,runs=9,block_table_unrolled1,4.446992
bit_extract_blocks,runs=9,block_table_unrolled2,4.237734
bit_extract_blocks,runs=9,block_table_unrolled4,4.447031
