suite,case,benchmark,ns_per_op
kmer_extract,k=1,char_to_nt_ifs_re,10.265753
kmer_extract,k=1,char_to_nt_switch_re,10.626539
kmer_extract,k=1,char_to_nt_table_re,1.514568
kmer_extract,k=1,char_to_nt_ascii_re,1.566633
kmer_extract,k=1,char_to_nt_ifs_shift,8.510511
kmer_extract,k=1,char_to_nt_switch_shift,8.491445
kmer_extract,k=1,char_to_nt_table_shift,1.169195
kmer_extract,k=1,char_to_nt_ascii_shift,1.135835
kmer_extract,k=2,char_to_nt_ifs_re,11.292944
kmer_extract,k=2,char_to_nt_switch_re,11.631957
kmer_extract,k=2,char_to_nt_table_re,1.988821
kmer_extract,k=2,char_to_nt_ascii_re,2.141410
kmer_extract,k=2,char_to_nt_ifs_shift,8.512083
kmer_extract,k=2,char_to_nt_switch_shift,8.490063
kmer_extract,k=2,char_to_nt_table_shift,1.177261
kmer_extract,k=2,char_to_nt_ascii_shift,1.134481
kmer_extract,k=3,char_to_nt_ifs_re,13.949166
kmer_extract,k=3,char_to_nt_switch_re,16.943404
kmer_extract,k=3,char_to_nt_table_re,2.506288
kmer_extract,k=3,char_to_nt_ascii_re,2.987692
kmer_extract,k=3,char_to_nt_ifs_shift,8.511809
kmer_extract,k=3,char_to_nt_switch_shift,8.481412
kmer_extract,k=3,char_to_nt_table_shift,1.163742
kmer_extract,k=3,char_to_nt_ascii_shift,1.134884
kmer_extract,k=4,char_to_nt_ifs_re,26.053611
kmer_extract,k=4,char_to_nt_switch_re,26.646336
kmer_extract,k=4,char_to_nt_table_re,2.354815
kmer_extract,k=4,char_to_nt_ascii_re,3.503584
kmer_extract,k=4,char_to_nt_ifs_shift,8.509703
kmer_extract,k=4,char_to_nt_switch_shift,8.482666
kmer_extract,k=4,char_to_nt_table_shift,1.171086
kmer_extract,k=4,char_to_nt_ascii_shift,1.135086
kmer_extract,k=5,char_to_nt_ifs_re,40.170092
kmer_extract,k=5,char_to_nt_switch_re,41.120897
kmer_extract,k=5,char_to_nt_table_re,2.977595
kmer_extract,k=5,char_to_nt_ascii_re,4.368288
kmer_extract,k=5,char_to_nt_ifs_shift,8.510538
kmer_extract,k=5,char_to_nt_switch_shift,8.483927
kmer_extract,k=5,char_to_nt_table_shift,1.149282
kmer_extract,k=5,char_to_nt_ascii_shift,1.135227
kmer_extract,k=6,char_to_nt_ifs_re,49.238922
kmer_extract,k=6,char_to_nt_switch_re,49.201650
kmer_extract,k=6,char_to_nt_table_re,3.453048
kmer_extract,k=6,char_to_nt_ascii_re,4.878490
kmer_extract,k=6,char_to_nt_ifs_shift,8.511434
