suite,case,benchmark,ns_per_op
kmer_spaced_multi,mask_set=0,naive,7.113387
kmer_spaced_multi,mask_set=0,pext,0.579038
kmer_spaced_multi,mask_set=0,bitloop,13.085849
kmer_spaced_multi,mask_set=0,byte_table,4.225886
kmer_spaced_multi,mask_set=0,block_table,2.875693
kmer_spaced_multi,mask_set=0,block_table_unrolled2,2.855618
kmer_spaced_multi,mask_set=0,block_table_unrolled4,2.218781
kmer_spaced_multi,mask_set=0,block_table_unrolled8,2.222202
kmer_spaced_multi,mask_set=0,butterfly_table,2.720231
kmer_spaced_multi,mask_set=0,simd_butterfly_table_sse2,1.871129
kmer_spaced_multi,mask_set=0,simd_block_table_sse2,1.972398
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx2,1.868736
kmer_spaced_multi,mask_set=0,simd_block_table_avx2,2.189266
kmer_spaced_multi,mask_set=0,simd_butterfly_table_avx512,1.930941
kmer_spaced_multi,mask_set=0,simd_block_table_avx512,2.047422
kmer_spaced_multi,mask_set=0,simd_pext,1.891421
kmer_spaced_multi,mask_set=0,simd_butterfly_table_scalar,2.524961
kmer_spaced_multi,mask_set=0,simd_block_table_scalar,2.245877
kmer_spaced_multi,mask_set=1,naive,9.482375
kmer_spaced_multi,mask_set=1,pext,0.571261
kmer_spaced_multi,mask_set=1,bitloop,19.691702
kmer_spaced_multi,mask_set=1,byte_table,4.211737
kmer_spaced_multi,mask_set=1,block_table,4.145985
kmer_spaced_multi,mask_set=1,block_table_unrolled2,4.356285
kmer_spaced_multi,mask_set=1,block_table_unrolled4,3.492879
kmer_spaced_multi,mask_set=1,block_table_unrolled8,2.956698
kmer_spaced_multi,mask_set=1,butterfly_table,2.709060
kmer_spaced_multi,mask_set=1,simd_butterfly_table_sse2,1.863971
kmer_spaced_multi,mask_set=1,simd_block_table_sse2,2.592391
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx2,1.863265
kmer_spaced_multi,mask_set=1,simd_block_table_avx2,1.871180
kmer_spaced_multi,mask_set=1,simd_butterfly_table_avx512,1.923989
kmer_spaced_multi,mask_set=1,simd_block_table_avx512,1.888040
kmer_spaced_multi,mask_set=1,simd_pext,1.888085
kmer_spaced_multi,mask_set=1,simd_butterfly_table_scalar,2.517847
kmer_spaced_multi,mask_set=1,simd_block_table_scalar,3.228493
kmer_spaced_multi,mask_set=2,naive,11.961625
kmer_spaced_multi,mask_set=2,pext,0.589052
kmer_spaced_multi,mask_set=2,bitloop,26.014923
kmer_spaced_multi,mask_set=2,byte_table,4.196467
kmer_spaced_multi,mask_set=2,block_table,4.544644
kmer_spaced_multi,mask_set=2,block_table_unrolled2,3.822892
kmer_spaced_multi,mask_set=2,block_table_unrolled4,3.738664
kmer_spaced_multi,mask_set=2,block_table_unrolled8,3.382837
kmer_spaced_multi,mask_set=2,butterfly_table,2.704197
