suite,case,benchmark,ns_per_op
kmer_spaced_single,mask=0,missh,206.909253
kmer_spaced_single,mask=0,naive,14.018556
kmer_spaced_single,mask=0,pext,1.275887
kmer_spaced_single,mask=0,bitloop,35.205607
kmer_spaced_single,mask=0,byte_table,5.035488
kmer_spaced_single,mask=0,block_table,4.286994
kmer_spaced_single,mask=0,block_table_unrolled2,3.869331
kmer_spaced_single,mask=0,block_table_unrolled4,3.666484
kmer_spaced_single,mask=0,block_table_unrolled8,2.805926
kmer_spaced_single,mask=0,butterfly_table,3.342232
kmer_spaced_single,mask=0,simd_butterfly_table_sse2,2.249475
kmer_spaced_single,mask=0,simd_block_table_sse2,2.668072
kmer_spaced_single,mask=0,simd_butterfly_table_avx2,1.853373
kmer_spaced_single,mask=0,simd_block_table_avx2,2.005474
kmer_spaced_single,mask=0,simd_butterfly_table_avx512,1.597972
kmer_spaced_single,mask=0,simd_block_table_avx512,1.752943
kmer_spaced_single,mask=0,simd_pext,1.403384
kmer_spaced_single,mask=0,simd_butterfly_table_scalar,3.293735
kmer_spaced_single,mask=0,simd_block_table_scalar,2.720968
kmer_spaced_single,mask=1,missh,212.815549
kmer_spaced_single,mask=1,naive,14.059139
kmer_spaced_single,mask=1,pext,1.275349
kmer_spaced_single,mask=1,bitloop,36.433672
kmer_spaced_single,mask=1,byte_table,5.021413
kmer_spaced_single,mask=1,block_table,4.278130
kmer_spaced_single,mask=1,block_table_unrolled2,3.869217
kmer_spaced_single,mask=1,block_table_unrolled4,3.665549
kmer_spaced_single,mask=1,block_table_unrolled8,2.802981
kmer_spaced_single,mask=1,butterfly_table,3.344354
kmer_spaced_single,mask=1,simd_butterfly_table_sse2,2.241359
kmer_spaced_single,mask=1,simd_block_table_sse2,2.668675
kmer_spaced_single,mask=1,simd_butterfly_table_avx2,1.855684
kmer_spaced_single,mask=1,simd_block_table_avx2,2.004801
kmer_spaced_single,mask=1,simd_butterfly_table_avx512,1.598097
kmer_spaced_single,mask=1,simd_block_table_avx512,1.758711
kmer_spaced_single,mask=1,simd_pext,1.402117
kmer_spaced_single,mask=1,simd_butterfly_table_scalar,3.285109
kmer_spaced_single,mask=1,simd_block_table_scalar,2.719997
kmer_spaced_single,mask=2,missh,210.182161
kmer_spaced_single,mask=2,naive,14.049183
kmer_spaced_single,mask=2,pext,1.272855
kmer_spaced_single,mask=2,bitloop,32.887280
kmer_spaced_single,mask=2,byte_table,5.020614
kmer_spaced_single,mask=2,block_table,4.278708
kmer_spaced_single,mask=2,block_table_unrolled2,3.869356
kmer_spaced_single,mask=2,block_table_unrolled4,3.665914
kmer_spaced_single,mask=2,block_table_unrolled8,2.804184
kmer_spaced_single,mask=2,butterfly_table,3.347992
kmer_spaced_single,mask=2,simd_butterfly_table_sse2,2.236565
kmer_spaced_single,mask=2,simd_block_table_sse2,2.668204
kmer_spaced_single,mask=2,simd_butterfly_table_avx2,1.853682
kmer_spaced_single,mask=2,simd_block_table_avx2,2.005250
kmer_spaced_single,mask=2,simd_butterfly_table_avx512,1.598309
kmer_spaced_single,mask=2,simd_block_table_avx512,1.757803
kmer_spaced_single,mask=2,simd_pext,1.401401
kmer_spaced_single,mask=2,simd_butterfly_table_scalar,3.292447
kmer_spaced_single,mask=2,simd_block_table_scalar,2.721106
kmer_spaced_single,mask=3,missh,211.353814
kmer_spaced_single,mask=3,naive,14.046877
kmer_spaced_single,mask=3,pext,1.278480
kmer_spaced_single,mask=3,bitloop,34.808055
kmer_spaced_single,mask=3,byte_table,5.017287
kmer_spaced_single,mask=3,block_table,4.277801
kmer_spaced_single,mask=3,block_table_unrolled2,3.869391
kmer_spaced_single,mask=3,block_table_unrolled4,3.666754
kmer_spaced_single,mask=3,block_table_unrolled8,2.805467
kmer_spaced_single,mask=3,butterfly_table,3.332602
kmer_spaced_single,mask=3,simd_butterfly_table_sse2,2.253128
kmer_spaced_single,mask=3,simd_block_table_sse2,2.668387
kmer_spaced_single,mask=3,simd_butterfly_table_avx2,1.853476
kmer_spaced_single,mask=3,simd_block_table_avx2,2.005174
kmer_spaced_single,mask=3,simd_butterfly_table_avx512,1.598375
kmer_spaced_single,mask=3,simd_block_table_avx512,1.765696
kmer_spaced_single,mask=3,simd_pext,1.402017
kmer_spaced_single,mask=3,simd_butterfly_table_scalar,3.295020
kmer_spaced_single,mask=3,simd_block_table_scalar,2.722015
kmer_spaced_single,mask=4,missh,211.311467
kmer_spaced_single,mask=4,naive,14.017600
kmer_spaced_single,mask=4,pext,1.275198
kmer_spaced_single,mask=4,bitloop,32.887977
kmer_spaced_single,mask=4,byte_table,5.030322
kmer_spaced_single,mask=4,block_table,4.279739
kmer_spaced_single,mask=4,block_table_unrolled2,3.869596
kmer_spaced_single,mask=4,block_table_unrolled4,3.665740
kmer_spaced_single,mask=4,block_table_unrolled8,2.798244
kmer_spaced_single,mask=4,butterfly_table,3.342496
kmer_spaced_single,mask=4,simd_butterfly_table_sse2,2.236305
kmer_spaced_single,mask=4,simd_block_table_sse2,2.668702
kmer_spaced_single,mask=4,simd_butterfly_table_avx2,1.855496
kmer_spaced_single,mask=4,simd_block_table_avx2,2.005306
kmer_spaced_single,mask=4,simd_butterfly_table_avx512,1.597659
kmer_spaced_single,mask=4,simd_block_table_avx512,1.758082
kmer_spaced_single,mask=4,simd_pext,1.403950
kmer_spaced_single,mask=4,simd_butterfly_table_scalar,3.302210
kmer_spaced_single,mask=4,simd_block_table_scalar,2.721765
kmer_spaced_single,mask=5,missh,213.721013
kmer_spaced_single,mask=5,naive,14.003301
kmer_spaced_single,mask=5,pext,1.276810
kmer_spaced_single,mask=5,bitloop,40.057304
kmer_spaced_single,mask=5,byte_table,5.026751
kmer_spaced_single,mask=5,block_table,4.282523
kmer_spaced_single,mask=5,block_table_unrolled2,3.869474
kmer_spaced_single,mask=5,block_table_unrolled4,3.666122
kmer_spaced_single,mask=5,block_table_unrolled8,2.800853
kmer_spaced_single,mask=5,butterfly_table,3.343676
kmer_spaced_single,mask=5,simd_butterfly_table_sse2,2.232330
kmer_spaced_single,mask=5,simd_block_table_sse2,2.668969
kmer_spaced_single,mask=5,simd_butterfly_table_avx2,1.854662
kmer_spaced_single,mask=5,simd_block_table_avx2,2.005217
kmer_spaced_single,mask=5,simd_butterfly_table_avx512,1.598164
kmer_spaced_single,mask=5,simd_block_table_avx512,1.766077
kmer_spaced_single,mask=5,simd_pext,1.398109
kmer_spaced_single,mask=5,simd_butterfly_table_scalar,3.301099
kmer_spaced_single,mask=5,simd_block_table_scalar,2.722113
kmer_spaced_single,mask=6,missh,210.965277
kmer_spaced_single,mask=6,naive,14.033466
kmer_spaced_single,mask=6,pext,1.280442
kmer_spaced_single,mask=6,bitloop,32.883674
kmer_spaced_single,mask=6,byte_table,5.020827
kmer_spaced_single,mask=6,block_table,4.891479
kmer_spaced_single,mask=6,block_table_unrolled2,4.481974
kmer_spaced_single,mask=6,block_table_unrolled4,4.789938
kmer_spaced_single,mask=6,block_table_unrolled8,4.557774
kmer_spaced_single,mask=6,butterfly_table,3.346098
kmer_spaced_single,mask=6,simd_butterfly_table_sse2,2.237011
kmer_spaced_single,mask=6,simd_block_table_sse2,4.095475
kmer_spaced_single,mask=6,simd_butterfly_table_avx2,1.853622
kmer_spaced_single,mask=6,simd_block_table_avx2,2.775107
kmer_spaced_single,mask=6,simd_butterfly_table_avx512,1.597139
kmer_spaced_single,mask=6,simd_block_table_avx512,2.190938
kmer_spaced_single,mask=6,simd_pext,1.403016
kmer_spaced_single,mask=6,simd_butterfly_table_scalar,3.290317
kmer_spaced_single,mask=6,simd_block_table_scalar,4.339178
kmer_spaced_single,mask=7,missh,211.138926
kmer_spaced_single,mask=7,naive,14.027774
kmer_spaced_single,mask=7,pext,1.274657
kmer_spaced_single,mask=7,bitloop,32.888809
kmer_spaced_single,mask=7,byte_table,5.020317
kmer_spaced_single,mask=7,block_table,4.277902
kmer_spaced_single,mask=7,block_table_unrolled2,3.869470
kmer_spaced_single,mask=7,block_table_unrolled4,3.665975
kmer_spaced_single,mask=7,block_table_unrolled8,2.799320
kmer_spaced_single,mask=7,butterfly_table,3.341472
kmer_spaced_single,mask=7,simd_butterfly_table_sse2,2.236226
kmer_spaced_single,mask=7,simd_block_table_sse2,2.668260
kmer_spaced_single,mask=7,simd_butterfly_table_avx2,1.853569
kmer_spaced_single,mask=7,simd_block_table_avx2,2.005578
kmer_spaced_single,mask=7,simd_butterfly_table_avx512,1.598062
kmer_spaced_single,mask=7,simd_block_table_avx512,1.741968
kmer_spaced_single,mask=7,simd_pext,1.404342
kmer_spaced_single,mask=7,simd_butterfly_table_scalar,3.286836
kmer_spaced_single,mask=7,simd_block_table_scalar,2.721529
kmer_spaced_single,mask=8,missh,212.725946
kmer_spaced_single,mask=8,naive,13.989012
kmer_spaced_single,mask=8,pext,1.279173
kmer_spaced_single,mask=8,bitloop,32.898141
kmer_spaced_single,mask=8,byte_table,5.022808
kmer_spaced_single,mask=8,block_table,4.284725
kmer_spaced_single,mask=8,block_table_unrolled2,3.869421
kmer_spaced_single,mask=8,block_table_unrolled4,3.665218
kmer_spaced_single,mask=8,block_table_unrolled8,2.800637
kmer_spaced_single,mask=8,butterfly_table,3.347619
kmer_spaced_single,mask=8,simd_butterfly_table_sse2,2.240811
kmer_spaced_single,mask=8,simd_block_table_sse2,2.668906
kmer_spaced_single,mask=8,simd_butterfly_table_avx2,1.855656
kmer_spaced_single,mask=8,simd_block_table_avx2,2.005073
kmer_spaced_single,mask=8,simd_butterfly_table_avx512,1.598045
kmer_spaced_single,mask=8,simd_block_table_avx512,1.765715
kmer_spaced_single,mask=8,simd_pext,1.400306
kmer_spaced_single,mask=8,simd_butterfly_table_scalar,3.289355
kmer_spaced_single,mask=8,simd_block_table_scalar,2.721696
