suite,case,benchmark,ns_per_op
single,W10L15,naive,8.67863
single,W10L15,FSH,7.6917
single,W10L15,ISSH,5.65466
multi,W10L15,naive,8.64517
multi,W10L15,FSH,8.54079
multi,W10L15,ISSH,5.77788
multi,W10L15,FSH_multi,8.49362
multi,W10L15,MISSH_v1,5.76815
multi,W10L15,MISSH_col,5.51792
multi,W10L15,MISSH_col_parallel,5.52115
multi,W10L15,MISSH_row,5.67958
single,W14L31,naive,9.45258
single,W14L31,FSH,10.0618
single,W14L31,ISSH,5.61582
multi,W14L31,naive,9.82299
multi,W14L31,FSH,10.2862
multi,W14L31,ISSH,6.04631
multi,W14L31,FSH_multi,10.9864
multi,W14L31,MISSH_v1,6.20576
multi,W14L31,MISSH_col,6.60503
multi,W14L31,MISSH_col_parallel,6.59394
multi,W14L31,MISSH_row,6.65461
single,W18L31,naive,11.4186
single,W18L31,FSH,10.1295
single,W18L31,ISSH,5.07391
multi,W18L31,naive,11.819
multi,W18L31,FSH,11.3965
multi,W18L31,ISSH,5.53481
multi,W18L31,FSH_multi,12.0177
multi,W18L31,MISSH_v1,5.69965
multi,W18L31,MISSH_col,6.45839
multi,W18L31,MISSH_col_parallel,6.47918
multi,W18L31,MISSH_row,6.72488
single,W22L31,naive,13.3593
single,W22L31,FSH,9.55738
single,W22L31,ISSH,4.77005
multi,W22L31,naive,13.8456
multi,W22L31,FSH,10.8056
multi,W22L31,ISSH,5.20595
multi,W22L31,FSH_multi,11.2035
multi,W22L31,MISSH_v1,5.23819
multi,W22L31,MISSH_col,5.61887
multi,W22L31,MISSH_col_parallel,5.61022
multi,W22L31,MISSH_row,5.89041
single,W26L31,naive,15.3877
single,W26L31,FSH,7.99082
single,W26L31,ISSH,4.52089
multi,W26L31,naive,15.9155
multi,W26L31,FSH,8.42342
multi,W26L31,ISSH,5.15002
multi,W26L31,FSH_multi,9.40815
multi,W26L31,MISSH_v1,4.85713
multi,W26L31,MISSH_col,5.56121
multi,W26L31,MISSH_col_parallel,5.57261
multi,W26L31,MISSH_row,5.59123
